                A Homogeneous Main-Sequence Model

 
 The surface conditions are:          The central conditions are:

 Mtot =      0.750000 Msun            Mc/Mtot     =  3.33944E-03
 Rtot =      1.008439 Rsun            Rc/Rtot     =  6.00000E-03
 Ltot =      0.189000 Lsun            Lc/Ltot     =  1.86845E-01
 Teff =   3788.500000 K               Density     =  0.00000E+00 g/cm**3
 X    =      0.700000                 Temperature =  0.00000E+00 K
 Y    =      0.292000                 Pressure    =  0.00000E+00 dynes/cm**2
 Z    =      0.008000                 epsilon     =  2.82053-312 ergs/s/g
                                      dlnP/dlnT   =  2.48897E+00


 
 Notes: 
 (1) Mass is listed as Qm = 1.0 - M_r/Mtot, where Mtot =  1.491750E+33 g
 (2) Convective zones are indicated by c, radiative zones by r
 (3) dlnP/dlnT may be limited to +99.9 or -99.9; if so it is labeled by *


      r       Qm       L_r       T        P       rho      kap      eps   dlPdlT
  3.06E+10 1.09E-01 7.23E+32 2.95E+06 7.79E+14 1.97E+00 1.04E+01 7.07E-05 r  4.4
  3.13E+10 9.86E-02 7.23E+32 2.84E+06 6.58E+14 1.73E+00 1.07E+01 4.69E-05 r  4.4
  3.20E+10 8.90E-02 7.23E+32 2.73E+06 5.56E+14 1.52E+00 1.09E+01 3.10E-05 r  4.4
  3.27E+10 8.02E-02 7.23E+32 2.63E+06 4.69E+14 1.33E+00 1.11E+01 2.04E-05 r  4.4
  3.34E+10 7.21E-02 7.23E+32 2.53E+06 3.95E+14 1.17E+00 1.14E+01 1.33E-05 r  4.4
  3.41E+10 6.48E-02 7.23E+32 2.43E+06 3.33E+14 1.02E+00 1.17E+01 8.65E-06 r  4.4
  3.48E+10 5.81E-02 7.23E+32 2.34E+06 2.80E+14 8.93E-01 1.19E+01 5.59E-06 r  4.4
  3.55E+10 5.20E-02 7.23E+32 2.25E+06 2.35E+14 7.81E-01 1.22E+01 3.59E-06 r  4.5
  3.62E+10 4.64E-02 7.23E+32 2.17E+06 1.98E+14 6.82E-01 1.24E+01 2.29E-06 r  4.5
  3.69E+10 4.14E-02 7.23E+32 2.08E+06 1.66E+14 5.95E-01 1.27E+01 1.45E-06 r  4.5
  3.76E+10 3.68E-02 7.23E+32 2.00E+06 1.39E+14 5.19E-01 1.30E+01 9.14E-07 r  4.5
  3.83E+10 3.27E-02 7.23E+32 1.92E+06 1.16E+14 4.52E-01 1.33E+01 5.71E-07 r  4.5
  3.90E+10 2.90E-02 7.23E+32 1.85E+06 9.72E+13 3.93E-01 1.36E+01 3.54E-07 r  4.5
  3.97E+10 2.56E-02 7.23E+32 1.78E+06 8.12E+13 3.41E-01 1.39E+01 2.18E-07 r  4.5
  4.04E+10 2.26E-02 7.23E+32 1.70E+06 6.76E+13 2.96E-01 1.42E+01 1.33E-07 r  4.5
  4.11E+10 1.99E-02 7.23E+32 1.64E+06 5.63E+13 2.57E-01 1.45E+01 8.01E-08 r  4.5
  4.18E+10 1.74E-02 7.23E+32 1.57E+06 4.68E+13 2.22E-01 1.48E+01 4.79E-08 r  4.5
  4.25E+10 1.53E-02 7.23E+32 1.51E+06 3.88E+13 1.92E-01 1.52E+01 2.83E-08 r  4.5
  4.32E+10 1.33E-02 7.23E+32 1.44E+06 3.21E+13 1.66E-01 1.55E+01 1.66E-08 r  4.5
  4.39E+10 1.16E-02 7.23E+32 1.38E+06 2.65E+13 1.43E-01 1.59E+01 9.59E-09 r  4.5
  4.46E+10 1.01E-02 7.23E+32 1.33E+06 2.18E+13 1.23E-01 1.62E+01 5.47E-09 r  4.5
  4.47E+10 9.91E-03 7.23E+32 1.32E+06 2.14E+13 1.21E-01 1.63E+01 5.17E-09 r  4.5
  4.48E+10 9.77E-03 7.23E+32 1.32E+06 2.10E+13 1.19E-01 1.63E+01 4.89E-09 r  4.5
  4.48E+10 9.63E-03 7.23E+32 1.31E+06 2.06E+13 1.17E-01 1.64E+01 4.62E-09 r  4.5
  4.49E+10 9.49E-03 7.23E+32 1.30E+06 2.02E+13 1.15E-01 1.64E+01 4.36E-09 r  4.5
  4.50E+10 9.36E-03 7.23E+32 1.30E+06 1.98E+13 1.14E-01 1.64E+01 4.12E-09 r  4.5
  4.51E+10 9.22E-03 7.23E+32 1.29E+06 1.94E+13 1.12E-01 1.65E+01 3.89E-09 r  4.5
  4.51E+10 9.09E-03 7.23E+32 1.29E+06 1.90E+13 1.10E-01 1.65E+01 3.67E-09 r  4.5
  4.52E+10 8.96E-03 7.23E+32 1.28E+06 1.86E+13 1.09E-01 1.66E+01 3.46E-09 r  4.5
  4.53E+10 8.83E-03 7.23E+32 1.28E+06 1.83E+13 1.07E-01 1.66E+01 3.27E-09 r  4.5
  4.53E+10 8.70E-03 7.23E+32 1.27E+06 1.79E+13 1.05E-01 1.66E+01 3.08E-09 r  4.5
  4.54E+10 8.57E-03 7.23E+32 1.26E+06 1.76E+13 1.04E-01 1.67E+01 2.91E-09 r  4.5
  4.55E+10 8.44E-03 7.23E+32 1.26E+06 1.72E+13 1.02E-01 1.67E+01 2.74E-09 r  4.5
  4.56E+10 8.32E-03 7.23E+32 1.25E+06 1.69E+13 1.01E-01 1.68E+01 2.59E-09 r  4.5
  4.56E+10 8.20E-03 7.23E+32 1.25E+06 1.65E+13 9.90E-02 1.68E+01 2.44E-09 r  4.5
  4.57E+10 8.08E-03 7.23E+32 1.24E+06 1.62E+13 9.74E-02 1.68E+01 2.30E-09 r  4.5
  4.58E+10 7.96E-03 7.23E+32 1.24E+06 1.59E+13 9.59E-02 1.69E+01 2.17E-09 r  4.5
  4.58E+10 7.84E-03 7.23E+32 1.23E+06 1.56E+13 9.45E-02 1.69E+01 2.05E-09 r  4.5
  4.59E+10 7.72E-03 7.23E+32 1.23E+06 1.53E+13 9.30E-02 1.70E+01 1.93E-09 r  4.5
  4.60E+10 7.61E-03 7.23E+32 1.22E+06 1.50E+13 9.15E-02 1.70E+01 1.82E-09 r  4.5
  4.60E+10 7.49E-03 7.23E+32 1.22E+06 1.47E+13 9.01E-02 1.70E+01 1.71E-09 r  4.5
  4.61E+10 7.38E-03 7.23E+32 1.21E+06 1.44E+13 8.87E-02 1.71E+01 1.61E-09 r  4.5
  4.62E+10 7.27E-03 7.23E+32 1.20E+06 1.41E+13 8.73E-02 1.71E+01 1.52E-09 r  4.5
