                A Homogeneous Main-Sequence Model

 
 The surface conditions are:          The central conditions are:

 Mtot =      0.750000 Msun            Mc/Mtot     =  3.33944E-03
 Rtot =      1.008439 Rsun            Rc/Rtot     =  6.00000E-03
 Ltot =      0.189000 Lsun            Lc/Ltot     =  1.86845E-01
 Teff =   3788.500000 K               Density     =  0.00000E+00 g/cm**3
 X    =      0.700000                 Temperature =  0.00000E+00 K
 Y    =      0.292000                 Pressure    =  0.00000E+00 dynes/cm**2
 Z    =      0.008000                 epsilon     =  2.82053-312 ergs/s/g
                                      dlnP/dlnT   =  2.48897E+00


 
 Notes: 
 (1) Mass is listed as Qm = 1.0 - M_r/Mtot, where Mtot =  1.491750E+33 g
 (2) Convective zones are indicated by c, radiative zones by r
 (3) dlnP/dlnT may be limited to +99.9 or -99.9; if so it is labeled by *


      r       Qm       L_r       T        P       rho      kap      eps   dlPdlT
  5.38E+10 1.07E-03 7.23E+32 7.08E+05 1.25E+12 1.32E-02 2.29E+01 6.82E-13 r  4.6
  5.38E+10 1.05E-03 7.23E+32 7.04E+05 1.22E+12 1.30E-02 2.30E+01 6.25E-13 r  4.6
  5.39E+10 1.02E-03 7.23E+32 7.00E+05 1.19E+12 1.27E-02 2.31E+01 5.73E-13 r  4.6
  5.40E+10 1.00E-03 7.23E+32 6.96E+05 1.16E+12 1.24E-02 2.31E+01 5.25E-13 r  4.6
  5.40E+10 9.81E-04 7.23E+32 6.92E+05 1.13E+12 1.22E-02 2.32E+01 4.80E-13 r  4.6
  5.41E+10 9.60E-04 7.23E+32 6.88E+05 1.10E+12 1.20E-02 2.33E+01 4.40E-13 r  4.6
  5.42E+10 9.39E-04 7.23E+32 6.84E+05 1.07E+12 1.17E-02 2.34E+01 4.02E-13 r  4.6
  5.43E+10 9.19E-04 7.23E+32 6.80E+05 1.05E+12 1.15E-02 2.34E+01 3.68E-13 r  4.6
  5.43E+10 8.99E-04 7.23E+32 6.76E+05 1.02E+12 1.13E-02 2.35E+01 3.36E-13 r  4.6
  5.44E+10 8.80E-04 7.23E+32 6.72E+05 9.93E+11 1.10E-02 2.36E+01 3.07E-13 r  4.6
  5.45E+10 8.61E-04 7.23E+32 6.69E+05 9.67E+11 1.08E-02 2.37E+01 2.80E-13 r  4.6
  5.45E+10 8.42E-04 7.23E+32 6.65E+05 9.42E+11 1.06E-02 2.37E+01 2.56E-13 r  4.6
  5.46E+10 8.23E-04 7.23E+32 6.61E+05 9.18E+11 1.04E-02 2.38E+01 2.34E-13 r  4.6
  5.47E+10 8.05E-04 7.23E+32 6.57E+05 8.94E+11 1.02E-02 2.39E+01 2.13E-13 r  4.6
  5.47E+10 7.88E-04 7.23E+32 6.53E+05 8.70E+11 9.94E-03 2.40E+01 1.94E-13 r  4.6
  5.48E+10 7.70E-04 7.23E+32 6.49E+05 8.47E+11 9.74E-03 2.40E+01 1.77E-13 r  4.6
  5.49E+10 7.53E-04 7.23E+32 6.46E+05 8.25E+11 9.54E-03 2.41E+01 1.61E-13 r  4.6
  5.50E+10 7.36E-04 7.23E+32 6.42E+05 8.03E+11 9.34E-03 2.42E+01 1.47E-13 r  4.6
  5.50E+10 7.20E-04 7.23E+32 6.38E+05 7.82E+11 9.14E-03 2.43E+01 1.34E-13 r  4.6
  5.51E+10 7.03E-04 7.23E+32 6.34E+05 7.61E+11 8.95E-03 2.44E+01 1.21E-13 r  4.6
  5.52E+10 6.87E-04 7.23E+32 6.31E+05 7.41E+11 8.77E-03 2.44E+01 1.10E-13 r  4.6
  5.52E+10 6.72E-04 7.23E+32 6.27E+05 7.21E+11 8.58E-03 2.45E+01 1.00E-13 r  4.6
  5.53E+10 6.56E-04 7.23E+32 6.23E+05 7.01E+11 8.40E-03 2.46E+01 9.11E-14 r  4.6
  5.54E+10 6.41E-04 7.23E+32 6.19E+05 6.82E+11 8.22E-03 2.47E+01 8.27E-14 r  4.6
  5.54E+10 6.27E-04 7.23E+32 6.16E+05 6.64E+11 8.05E-03 2.48E+01 7.51E-14 r  4.6
  5.55E+10 6.12E-04 7.23E+32 6.12E+05 6.46E+11 7.88E-03 2.49E+01 6.81E-14 r  4.6
  5.56E+10 5.98E-04 7.23E+32 6.08E+05 6.28E+11 7.71E-03 2.49E+01 6.17E-14 r  4.6
  5.57E+10 5.84E-04 7.23E+32 6.05E+05 6.11E+11 7.54E-03 2.50E+01 5.59E-14 r  4.6
  5.57E+10 5.70E-04 7.23E+32 6.01E+05 5.94E+11 7.38E-03 2.51E+01 5.06E-14 r  4.6
  5.58E+10 5.57E-04 7.23E+32 5.97E+05 5.78E+11 7.22E-03 2.52E+01 4.58E-14 r  4.6
  5.59E+10 5.44E-04 7.23E+32 5.93E+05 5.62E+11 7.06E-03 2.53E+01 4.14E-14 r  4.6
  5.59E+10 5.31E-04 7.23E+32 5.90E+05 5.46E+11 6.91E-03 2.54E+01 3.75E-14 r  4.6
  5.60E+10 5.18E-04 7.23E+32 5.86E+05 5.31E+11 6.76E-03 2.55E+01 3.39E-14 r  4.6
  5.61E+10 5.06E-04 7.23E+32 5.83E+05 5.16E+11 6.61E-03 2.56E+01 3.06E-14 r  4.6
  5.61E+10 4.94E-04 7.23E+32 5.79E+05 5.01E+11 6.47E-03 2.56E+01 2.76E-14 r  4.6
  5.62E+10 4.82E-04 7.23E+32 5.75E+05 4.87E+11 6.32E-03 2.57E+01 2.49E-14 r  4.6
  5.63E+10 4.70E-04 7.23E+32 5.72E+05 4.74E+11 6.18E-03 2.58E+01 2.24E-14 r  4.6
  5.64E+10 4.58E-04 7.23E+32 5.68E+05 4.60E+11 6.04E-03 2.59E+01 2.02E-14 r  4.6
  5.64E+10 4.47E-04 7.23E+32 5.65E+05 4.47E+11 5.91E-03 2.60E+01 1.82E-14 r  4.6
  5.65E+10 4.36E-04 7.23E+32 5.61E+05 4.34E+11 5.78E-03 2.61E+01 1.64E-14 r  4.6
  5.66E+10 4.25E-04 7.23E+32 5.57E+05 4.22E+11 5.65E-03 2.62E+01 1.47E-14 r  4.6
  5.66E+10 4.15E-04 7.23E+32 5.54E+05 4.10E+11 5.52E-03 2.63E+01 1.33E-14 r  4.6
  5.67E+10 4.04E-04 7.23E+32 5.50E+05 3.98E+11 5.39E-03 2.64E+01 1.19E-14 r  4.6
  5.68E+10 3.94E-04 7.23E+32 5.47E+05 3.86E+11 5.27E-03 2.65E+01 1.07E-14 r  4.6
  5.69E+10 3.84E-04 7.23E+32 5.43E+05 3.75E+11 5.15E-03 2.66E+01 9.59E-15 r  4.6
  5.69E+10 3.75E-04 7.23E+32 5.40E+05 3.64E+11 5.03E-03 2.67E+01 8.60E-15 r  4.6
  5.70E+10 3.65E-04 7.23E+32 5.36E+05 3.53E+11 4.92E-03 2.68E+01 7.71E-15 r  4.6
  5.71E+10 3.56E-04 7.23E+32 5.33E+05 3.43E+11 4.80E-03 2.69E+01 6.90E-15 r  4.6
  5.71E+10 3.47E-04 7.23E+32 5.29E+05 3.33E+11 4.69E-03 2.70E+01 6.18E-15 r  4.6
  5.72E+10 3.38E-04 7.23E+32 5.26E+05 3.23E+11 4.58E-03 2.71E+01 5.53E-15 r  4.6
  5.73E+10 3.29E-04 7.23E+32 5.22E+05 3.13E+11 4.47E-03 2.72E+01 4.94E-15 r  4.6
  5.73E+10 3.20E-04 7.23E+32 5.19E+05 3.04E+11 4.37E-03 2.73E+01 4.41E-15 r  4.6
  5.74E+10 3.12E-04 7.23E+32 5.15E+05 2.94E+11 4.27E-03 2.74E+01 3.94E-15 r  4.6
  5.75E+10 3.04E-04 7.23E+32 5.12E+05 2.85E+11 4.16E-03 2.75E+01 3.51E-15 r  4.6
  5.76E+10 2.96E-04 7.23E+32 5.08E+05 2.77E+11 4.06E-03 2.76E+01 3.13E-15 r  4.6
  5.76E+10 2.88E-04 7.23E+32 5.05E+05 2.68E+11 3.97E-03 2.77E+01 2.79E-15 r  4.6
  5.77E+10 2.80E-04 7.23E+32 5.01E+05 2.60E+11 3.87E-03 2.78E+01 2.48E-15 r  4.6
  5.78E+10 2.73E-04 7.23E+32 4.98E+05 2.52E+11 3.78E-03 2.79E+01 2.21E-15 r  4.6
  5.78E+10 2.65E-04 7.23E+32 4.95E+05 2.44E+11 3.69E-03 2.80E+01 1.96E-15 r  4.6
  5.79E+10 2.58E-04 7.23E+32 4.91E+05 2.37E+11 3.60E-03 2.81E+01 1.74E-15 r  4.6
  5.80E+10 2.51E-04 7.23E+32 4.88E+05 2.29E+11 3.51E-03 2.83E+01 1.55E-15 r  4.6
  5.80E+10 2.44E-04 7.23E+32 4.84E+05 2.22E+11 3.42E-03 2.84E+01 1.37E-15 r  4.6
  5.81E+10 2.37E-04 7.23E+32 4.81E+05 2.15E+11 3.34E-03 2.85E+01 1.21E-15 r  4.6
  5.82E+10 2.31E-04 7.23E+32 4.78E+05 2.08E+11 3.25E-03 2.86E+01 1.08E-15 r  4.6
  5.83E+10 2.24E-04 7.23E+32 4.74E+05 2.02E+11 3.17E-03 2.87E+01 9.51E-16 r  4.6
  5.83E+10 2.18E-04 7.23E+32 4.71E+05 1.95E+11 3.09E-03 2.88E+01 8.41E-16 r  4.6
  5.84E+10 2.12E-04 7.23E+32 4.68E+05 1.89E+11 3.02E-03 2.89E+01 7.43E-16 r  4.6
  5.85E+10 2.06E-04 7.23E+32 4.64E+05 1.83E+11 2.94E-03 2.91E+01 6.55E-16 r  4.6
  5.85E+10 2.00E-04 7.23E+32 4.61E+05 1.77E+11 2.87E-03 2.92E+01 5.78E-16 r  4.6
  5.86E+10 1.94E-04 7.23E+32 4.58E+05 1.71E+11 2.79E-03 2.93E+01 5.09E-16 r  4.6
  5.87E+10 1.89E-04 7.23E+32 4.54E+05 1.66E+11 2.72E-03 2.94E+01 4.48E-16 r  4.6
  5.87E+10 1.83E-04 7.23E+32 4.51E+05 1.60E+11 2.65E-03 2.95E+01 3.94E-16 r  4.6
  5.88E+10 1.78E-04 7.23E+32 4.48E+05 1.55E+11 2.58E-03 2.97E+01 3.46E-16 r  4.6
  5.89E+10 1.72E-04 7.23E+32 4.44E+05 1.50E+11 2.51E-03 2.98E+01 3.04E-16 r  4.6
  5.90E+10 1.67E-04 7.23E+32 4.41E+05 1.45E+11 2.45E-03 2.99E+01 2.66E-16 r  4.6
  5.90E+10 1.62E-04 7.23E+32 4.38E+05 1.40E+11 2.38E-03 3.00E+01 2.33E-16 r  4.6
  5.91E+10 1.58E-04 7.23E+32 4.35E+05 1.35E+11 2.32E-03 3.02E+01 2.04E-16 r  4.6
  5.92E+10 1.53E-04 7.23E+32 4.31E+05 1.31E+11 2.26E-03 3.03E+01 1.79E-16 r  4.6
  5.92E+10 1.48E-04 7.23E+32 4.28E+05 1.26E+11 2.20E-03 3.04E+01 1.56E-16 r  4.6
  5.93E+10 1.44E-04 7.23E+32 4.25E+05 1.22E+11 2.14E-03 3.06E+01 1.36E-16 r  4.6
  5.94E+10 1.39E-04 7.23E+32 4.22E+05 1.18E+11 2.08E-03 3.07E+01 1.19E-16 r  4.6
  5.94E+10 1.35E-04 7.23E+32 4.18E+05 1.14E+11 2.03E-03 3.08E+01 1.03E-16 r  4.6
  5.95E+10 1.31E-04 7.23E+32 4.15E+05 1.10E+11 1.97E-03 3.10E+01 9.00E-17 r  4.6
  5.96E+10 1.27E-04 7.23E+32 4.12E+05 1.06E+11 1.92E-03 3.11E+01 7.82E-17 r  4.6
  5.97E+10 1.23E-04 7.23E+32 4.09E+05 1.02E+11 1.86E-03 3.12E+01 6.79E-17 r  4.6
  5.97E+10 1.19E-04 7.23E+32 4.06E+05 9.85E+10 1.81E-03 3.14E+01 5.89E-17 r  4.6
  5.98E+10 1.15E-04 7.23E+32 4.02E+05 9.50E+10 1.76E-03 3.15E+01 5.11E-17 r  4.6
  5.99E+10 1.11E-04 7.23E+32 3.99E+05 9.16E+10 1.71E-03 3.17E+01 4.42E-17 r  4.6
  5.99E+10 1.08E-04 7.23E+32 3.96E+05 8.83E+10 1.66E-03 3.18E+01 3.82E-17 r  4.6
  6.00E+10 1.04E-04 7.23E+32 3.93E+05 8.51E+10 1.62E-03 3.20E+01 3.30E-17 r  4.6
  6.01E+10 1.01E-04 7.23E+32 3.90E+05 8.21E+10 1.57E-03 3.21E+01 2.84E-17 r  4.6
  6.01E+10 9.77E-05 7.23E+32 3.87E+05 7.91E+10 1.53E-03 3.23E+01 2.45E-17 r  4.6
  6.02E+10 9.45E-05 7.23E+32 3.83E+05 7.62E+10 1.48E-03 3.24E+01 2.11E-17 r  4.6
  6.03E+10 9.13E-05 7.23E+32 3.80E+05 7.33E+10 1.44E-03 3.26E+01 1.81E-17 r  4.6
  6.04E+10 8.83E-05 7.23E+32 3.77E+05 7.06E+10 1.40E-03 3.27E+01 1.55E-17 r  4.6
  6.04E+10 8.53E-05 7.23E+32 3.74E+05 6.80E+10 1.36E-03 3.29E+01 1.33E-17 r  4.6
  6.05E+10 8.24E-05 7.23E+32 3.71E+05 6.54E+10 1.32E-03 3.30E+01 1.14E-17 r  4.6
  6.06E+10 7.96E-05 7.23E+32 3.68E+05 6.30E+10 1.28E-03 3.32E+01 9.75E-18 r  4.6
  6.06E+10 7.69E-05 7.23E+32 3.65E+05 6.06E+10 1.24E-03 3.34E+01 8.32E-18 r  4.6
  6.07E+10 7.42E-05 7.23E+32 3.62E+05 5.82E+10 1.20E-03 3.35E+01 7.10E-18 r  4.6
  6.08E+10 7.16E-05 7.23E+32 3.58E+05 5.60E+10 1.17E-03 3.37E+01 6.04E-18 r  4.6
  6.09E+10 6.91E-05 7.23E+32 3.55E+05 5.38E+10 1.13E-03 3.39E+01 5.14E-18 r  4.6
  6.09E+10 6.67E-05 7.23E+32 3.52E+05 5.17E+10 1.10E-03 3.40E+01 4.36E-18 r  4.6
  6.10E+10 6.43E-05 7.23E+32 3.49E+05 4.97E+10 1.06E-03 3.42E+01 3.70E-18 r  4.6
  6.11E+10 6.20E-05 7.23E+32 3.46E+05 4.77E+10 1.03E-03 3.44E+01 3.13E-18 r  4.6
  6.11E+10 5.98E-05 7.23E+32 3.43E+05 4.59E+10 9.97E-04 3.45E+01 2.65E-18 r  4.6
  6.12E+10 5.76E-05 7.23E+32 3.40E+05 4.40E+10 9.66E-04 3.47E+01 2.23E-18 r  4.6
  6.13E+10 5.55E-05 7.23E+32 3.37E+05 4.22E+10 9.35E-04 3.49E+01 1.88E-18 r  4.6
  6.13E+10 5.35E-05 7.23E+32 3.34E+05 4.05E+10 9.06E-04 3.51E+01 1.58E-18 r  4.6
  6.14E+10 5.15E-05 7.23E+32 3.31E+05 3.89E+10 8.77E-04 3.53E+01 1.33E-18 r  4.6
  6.15E+10 4.95E-05 7.23E+32 3.28E+05 3.73E+10 8.48E-04 3.55E+01 1.12E-18 r  4.6
  6.16E+10 4.77E-05 7.23E+32 3.25E+05 3.58E+10 8.21E-04 3.56E+01 9.34E-19 r  4.6
  6.16E+10 4.59E-05 7.23E+32 3.22E+05 3.43E+10 7.94E-04 3.58E+01 7.81E-19 r  4.6
  6.17E+10 4.41E-05 7.23E+32 3.19E+05 3.28E+10 7.68E-04 3.60E+01 6.52E-19 r  4.6
  6.18E+10 4.24E-05 7.23E+32 3.16E+05 3.14E+10 7.43E-04 3.62E+01 5.43E-19 r  4.6
  6.18E+10 4.08E-05 7.23E+32 3.13E+05 3.01E+10 7.18E-04 3.64E+01 4.51E-19 r  4.6
  6.19E+10 3.92E-05 7.23E+32 3.10E+05 2.88E+10 6.94E-04 3.66E+01 3.74E-19 r  4.6
  6.20E+10 3.76E-05 7.23E+32 3.07E+05 2.76E+10 6.70E-04 3.68E+01 3.10E-19 r  4.6
  6.20E+10 3.61E-05 7.23E+32 3.04E+05 2.64E+10 6.47E-04 3.70E+01 2.56E-19 r  4.6
  6.21E+10 3.47E-05 7.23E+32 3.01E+05 2.52E+10 6.25E-04 3.72E+01 2.12E-19 r  4.6
  6.22E+10 3.33E-05 7.23E+32 2.98E+05 2.41E+10 6.03E-04 3.75E+01 1.74E-19 r  4.6
  6.23E+10 3.19E-05 7.23E+32 2.95E+05 2.30E+10 5.82E-04 3.77E+01 1.43E-19 r  4.6
  6.23E+10 3.06E-05 7.23E+32 2.92E+05 2.20E+10 5.62E-04 3.79E+01 1.17E-19 r  4.6
  6.24E+10 2.93E-05 7.23E+32 2.89E+05 2.10E+10 5.42E-04 3.81E+01 9.61E-20 r  4.6
  6.25E+10 2.81E-05 7.23E+32 2.87E+05 2.01E+10 5.23E-04 3.83E+01 7.85E-20 r  4.6
  6.25E+10 2.69E-05 7.23E+32 2.84E+05 1.92E+10 5.04E-04 3.86E+01 6.39E-20 r  4.6
  6.26E+10 2.58E-05 7.23E+32 2.81E+05 1.83E+10 4.86E-04 3.88E+01 5.20E-20 r  4.6
  6.27E+10 2.47E-05 7.23E+32 2.78E+05 1.74E+10 4.68E-04 3.90E+01 4.22E-20 r  4.6
  6.27E+10 2.36E-05 7.23E+32 2.75E+05 1.66E+10 4.51E-04 3.93E+01 3.41E-20 r  4.6
  6.28E+10 2.26E-05 7.23E+32 2.72E+05 1.58E+10 4.34E-04 3.95E+01 2.75E-20 r  4.6
  6.29E+10 2.16E-05 7.23E+32 2.69E+05 1.51E+10 4.18E-04 3.97E+01 2.22E-20 r  4.6
  6.30E+10 2.06E-05 7.23E+32 2.66E+05 1.43E+10 4.02E-04 4.00E+01 1.78E-20 r  4.6
  6.30E+10 1.97E-05 7.23E+32 2.63E+05 1.37E+10 3.87E-04 4.02E+01 1.43E-20 r  4.6
  6.31E+10 1.88E-05 7.23E+32 2.61E+05 1.30E+10 3.72E-04 4.05E+01 1.14E-20 r  4.6
  6.32E+10 1.79E-05 7.23E+32 2.58E+05 1.23E+10 3.57E-04 4.08E+01 9.10E-21 r  4.6
  6.32E+10 1.71E-05 7.23E+32 2.55E+05 1.17E+10 3.44E-04 4.10E+01 7.23E-21 r  4.6
  6.33E+10 1.63E-05 7.23E+32 2.52E+05 1.11E+10 3.30E-04 4.13E+01 5.73E-21 r  4.6
  6.34E+10 1.55E-05 7.23E+32 2.49E+05 1.06E+10 3.17E-04 4.16E+01 4.53E-21 r  4.6
  6.34E+10 1.48E-05 7.23E+32 2.46E+05 1.00E+10 3.04E-04 4.18E+01 3.57E-21 r  4.6
  6.35E+10 1.41E-05 7.23E+32 2.44E+05 9.53E+09 2.92E-04 4.21E+01 2.81E-21 r  4.6
  6.36E+10 1.34E-05 7.23E+32 2.41E+05 9.03E+09 2.80E-04 4.24E+01 2.20E-21 r  4.6
  6.37E+10 1.28E-05 7.23E+32 2.38E+05 8.56E+09 2.68E-04 4.27E+01 1.72E-21 r  4.6
  6.37E+10 1.21E-05 7.23E+32 2.35E+05 8.11E+09 2.57E-04 4.30E+01 1.34E-21 r  4.6
  6.38E+10 1.15E-05 7.23E+32 2.32E+05 7.67E+09 2.46E-04 4.33E+01 1.04E-21 r  4.6
  6.39E+10 1.09E-05 7.23E+32 2.30E+05 7.26E+09 2.36E-04 4.36E+01 8.02E-22 r  4.6
  6.39E+10 1.04E-05 7.23E+32 2.27E+05 6.87E+09 2.26E-04 4.39E+01 6.18E-22 r  4.6
  6.40E+10 9.85E-06 7.23E+32 2.24E+05 6.49E+09 2.16E-04 4.42E+01 4.74E-22 r  4.6
  6.41E+10 9.33E-06 7.23E+32 2.21E+05 6.13E+09 2.07E-04 4.46E+01 3.63E-22 r  4.6
  6.42E+10 8.84E-06 7.23E+32 2.18E+05 5.78E+09 1.98E-04 4.49E+01 2.77E-22 r  4.6
  6.42E+10 8.37E-06 7.23E+32 2.16E+05 5.46E+09 1.89E-04 4.52E+01 2.10E-22 r  4.6
  6.43E+10 7.92E-06 7.23E+32 2.13E+05 5.15E+09 1.80E-04 4.56E+01 1.59E-22 r  4.6
  6.44E+10 7.49E-06 7.23E+32 2.10E+05 4.85E+09 1.72E-04 4.59E+01 1.20E-22 r  4.6
  6.44E+10 7.08E-06 7.23E+32 2.07E+05 4.56E+09 1.64E-04 4.63E+01 8.97E-23 r  4.6
  6.45E+10 6.68E-06 7.23E+32 2.05E+05 4.30E+09 1.57E-04 4.66E+01 6.70E-23 r  4.6
  6.46E+10 6.31E-06 7.23E+32 2.02E+05 4.04E+09 1.49E-04 4.70E+01 4.98E-23 r  4.6
  6.46E+10 5.95E-06 7.23E+32 1.99E+05 3.80E+09 1.42E-04 4.74E+01 3.69E-23 r  4.6
  6.47E+10 5.61E-06 7.23E+32 1.97E+05 3.56E+09 1.35E-04 4.77E+01 2.72E-23 r  4.6
  6.48E+10 5.28E-06 7.23E+32 1.94E+05 3.34E+09 1.29E-04 4.81E+01 1.99E-23 r  4.6
  6.49E+10 4.97E-06 7.23E+32 1.91E+05 3.13E+09 1.22E-04 4.85E+01 1.45E-23 r  4.6
  6.49E+10 4.67E-06 7.23E+32 1.88E+05 2.94E+09 1.16E-04 4.89E+01 1.06E-23 r  4.6
  6.50E+10 4.39E-06 7.23E+32 1.86E+05 2.75E+09 1.10E-04 4.94E+01 7.62E-24 r  4.6
  6.51E+10 4.12E-06 7.23E+32 1.83E+05 2.57E+09 1.05E-04 4.98E+01 5.48E-24 r  4.6
  6.51E+10 3.86E-06 7.23E+32 1.80E+05 2.40E+09 9.94E-05 5.02E+01 3.91E-24 r  4.6
  6.52E+10 3.62E-06 7.23E+32 1.78E+05 2.24E+09 9.42E-05 5.07E+01 2.78E-24 r  4.6
  6.53E+10 3.39E-06 7.23E+32 1.75E+05 2.09E+09 8.92E-05 5.11E+01 1.96E-24 r  4.6
  6.53E+10 3.17E-06 7.23E+32 1.72E+05 1.95E+09 8.44E-05 5.16E+01 1.38E-24 r  4.6
  6.54E+10 2.96E-06 7.23E+32 1.70E+05 1.82E+09 7.99E-05 5.20E+01 9.59E-25 r  4.6
  6.55E+10 2.77E-06 7.23E+32 1.67E+05 1.69E+09 7.55E-05 5.25E+01 6.64E-25 r  4.6
  6.56E+10 2.58E-06 7.23E+32 1.64E+05 1.57E+09 7.13E-05 5.30E+01 4.57E-25 r  4.6
  6.56E+10 2.40E-06 7.23E+32 1.62E+05 1.46E+09 6.72E-05 5.35E+01 3.12E-25 r  4.6
  6.57E+10 2.24E-06 7.23E+32 1.59E+05 1.35E+09 6.34E-05 5.41E+01 2.12E-25 r  4.6
  6.58E+10 2.08E-06 7.23E+32 1.57E+05 1.25E+09 5.97E-05 5.46E+01 1.43E-25 r  4.6
  6.58E+10 1.93E-06 7.23E+32 1.54E+05 1.16E+09 5.62E-05 5.51E+01 9.52E-26 r  4.6
  6.59E+10 1.79E-06 7.23E+32 1.51E+05 1.07E+09 5.28E-05 5.57E+01 6.31E-26 r  4.6
  6.60E+10 1.66E-06 7.23E+32 1.49E+05 9.90E+08 4.96E-05 5.63E+01 4.15E-26 r  4.6
  6.60E+10 1.54E-06 7.23E+32 1.46E+05 9.13E+08 4.66E-05 5.69E+01 2.70E-26 r  4.6
  6.61E+10 1.42E-06 7.23E+32 1.43E+05 8.40E+08 4.37E-05 5.75E+01 1.74E-26 r  4.6
  6.62E+10 1.31E-06 7.23E+32 1.41E+05 7.73E+08 4.09E-05 5.81E+01 1.11E-26 r  4.6
  6.63E+10 1.21E-06 7.23E+32 1.38E+05 7.10E+08 3.83E-05 5.87E+01 7.06E-27 r  4.6
  6.63E+10 1.11E-06 7.23E+32 1.36E+05 6.51E+08 3.58E-05 5.94E+01 4.43E-27 r  4.6
  6.64E+10 1.02E-06 7.23E+32 1.33E+05 5.96E+08 3.34E-05 6.01E+01 2.75E-27 r  4.6
  6.65E+10 9.36E-07 7.23E+32 1.31E+05 5.45E+08 3.11E-05 6.08E+01 1.68E-27 r  4.6
  6.65E+10 8.58E-07 7.23E+32 1.28E+05 4.98E+08 2.90E-05 6.15E+01 1.02E-27 r  4.6
  6.66E+10 7.85E-07 7.23E+32 1.25E+05 4.54E+08 2.70E-05 6.22E+01 6.12E-28 r  4.6
  6.67E+10 7.16E-07 7.23E+32 1.23E+05 4.13E+08 2.50E-05 6.30E+01 3.62E-28 r  4.6
  6.67E+10 6.53E-07 7.23E+32 1.20E+05 3.75E+08 2.32E-05 6.38E+01 2.12E-28 r  4.6
  6.68E+10 5.94E-07 7.23E+32 1.18E+05 3.40E+08 2.15E-05 6.46E+01 1.22E-28 r  4.6
  6.69E+10 5.39E-07 7.23E+32 1.15E+05 3.07E+08 1.99E-05 6.54E+01 6.92E-29 r  4.6
  6.70E+10 4.89E-07 7.23E+32 1.13E+05 2.78E+08 1.84E-05 6.63E+01 3.87E-29 r  4.6
  6.70E+10 4.42E-07 7.23E+32 1.10E+05 2.50E+08 1.69E-05 6.72E+01 2.13E-29 r  4.6
  6.71E+10 3.99E-07 7.23E+32 1.08E+05 2.25E+08 1.56E-05 6.81E+01 1.15E-29 r  4.6
  6.72E+10 3.59E-07 7.23E+32 1.05E+05 2.02E+08 1.43E-05 6.91E+01 6.14E-30 r  4.6
  6.72E+10 3.22E-07 7.23E+32 1.03E+05 1.81E+08 1.31E-05 7.01E+01 3.20E-30 r  4.6
  6.73E+10 2.89E-07 7.23E+32 1.00E+05 1.61E+08 1.20E-05 7.11E+01 1.64E-30 r  4.6
  6.74E+10 2.58E-07 7.23E+32 9.77E+04 1.44E+08 1.10E-05 7.22E+01 8.24E-31 r  4.6
  6.74E+10 2.30E-07 7.23E+32 9.52E+04 1.27E+08 9.98E-06 7.33E+01 4.05E-31 r  4.6
  6.75E+10 2.04E-07 7.23E+32 9.27E+04 1.13E+08 9.08E-06 7.45E+01 1.94E-31 r  4.6
  6.76E+10 1.81E-07 7.23E+32 9.02E+04 9.96E+07 8.23E-06 7.57E+01 9.09E-32 r  4.6
  6.77E+10 1.60E-07 7.23E+32 8.77E+04 8.76E+07 7.45E-06 7.70E+01 4.15E-32 r  4.6
  6.77E+10 1.41E-07 7.23E+32 8.53E+04 7.68E+07 6.72E-06 7.83E+01 1.84E-32 r  4.6
  6.78E+10 1.23E-07 7.23E+32 8.28E+04 6.71E+07 6.04E-06 7.97E+01 7.94E-33 r  4.6
  6.79E+10 1.08E-07 7.23E+32 8.03E+04 5.84E+07 5.42E-06 8.11E+01 3.32E-33 r  4.6
  6.79E+10 9.36E-08 7.23E+32 7.79E+04 5.07E+07 4.85E-06 8.26E+01 1.34E-33 r  4.6
  6.80E+10 8.11E-08 7.23E+32 7.54E+04 4.37E+07 4.32E-06 8.42E+01 5.23E-34 r  4.6
  6.81E+10 6.99E-08 7.23E+32 7.30E+04 3.76E+07 3.84E-06 8.59E+01 1.96E-34 r  4.6
  6.82E+10 6.00E-08 7.23E+32 7.05E+04 3.21E+07 3.40E-06 8.77E+01 7.06E-35 r  4.6
  6.82E+10 5.13E-08 7.23E+32 6.81E+04 2.73E+07 2.99E-06 8.95E+01 2.43E-35 r  4.6
  6.83E+10 4.35E-08 7.23E+32 6.57E+04 2.31E+07 2.63E-06 9.15E+01 7.97E-36 r  4.6
  6.84E+10 3.67E-08 7.23E+32 6.33E+04 1.95E+07 2.29E-06 9.36E+01 2.48E-36 r  4.6
  6.84E+10 3.08E-08 7.23E+32 6.08E+04 1.63E+07 1.99E-06 9.58E+01 7.29E-37 r  4.6
  6.85E+10 2.57E-08 7.23E+32 5.84E+04 1.35E+07 1.72E-06 9.81E+01 2.01E-37 r  4.6
  6.86E+10 2.12E-08 7.23E+32 5.60E+04 1.11E+07 1.48E-06 1.01E+02 5.19E-38 r  4.6
  6.86E+10 1.74E-08 7.23E+32 5.36E+04 9.09E+06 1.26E-06 1.03E+02 1.24E-38 r  4.6
  6.87E+10 1.42E-08 7.23E+32 5.12E+04 7.37E+06 1.07E-06 1.06E+02 2.74E-39 r  4.6
  6.88E+10 1.14E-08 7.23E+32 4.88E+04 5.91E+06 9.02E-07 1.09E+02 5.50E-40 r  4.6
