                A Homogeneous Main-Sequence Model

 
 The surface conditions are:          The central conditions are:

 Mtot =      1.000000 Msun            Mc/Mtot     = -1.55336E-03
 Rtot =      0.989686 Rsun            Rc/Rtot     =  3.40000E-02
 Ltot =      1.000000 Lsun            Lc/Ltot     =  4.91427E-01
 Teff =   5800.000000 K               Density     =  0.00000E+00 g/cm**3
 X    =      0.750000                 Temperature =  0.00000E+00 K
 Y    =      0.248000                 Pressure    =  0.00000E+00 dynes/cm**2
 Z    =      0.002000                 epsilon     =  0.00000E+00 ergs/s/g
                                      dlnP/dlnT   =  2.49927E+00

 
 
 Notes: 
 (1) Mass is listed as Qm = 1.0 - M_r/Mtot, where Mtot =  1.989000E+33 g
 (2) Convective zones are indicated by c, radiative zones by r
 (3) dlnP/dlnT may be limited to +99.9 or -99.9; if so it is labeled by *


      r       Qm       L_r       T        P       rho      kap      eps   dlPdlT
  5.37E+10 1.25E-03 3.83E+33 8.68E+05 2.64E+12 2.18E-02 6.36E+00 1.38E-11 r  4.5
  5.38E+10 1.22E-03 3.83E+33 8.63E+05 2.57E+12 2.14E-02 6.38E+00 1.26E-11 r  4.5
  5.39E+10 1.20E-03 3.83E+33 8.58E+05 2.50E+12 2.10E-02 6.39E+00 1.16E-11 r  4.5
  5.39E+10 1.17E-03 3.83E+33 8.53E+05 2.44E+12 2.05E-02 6.41E+00 1.06E-11 r  4.5
  5.40E+10 1.14E-03 3.83E+33 8.48E+05 2.37E+12 2.01E-02 6.43E+00 9.74E-12 r  4.5
  5.41E+10 1.12E-03 3.83E+33 8.43E+05 2.31E+12 1.97E-02 6.44E+00 8.92E-12 r  4.5
  5.41E+10 1.09E-03 3.83E+33 8.38E+05 2.25E+12 1.93E-02 6.46E+00 8.17E-12 r  4.5
  5.42E+10 1.07E-03 3.83E+33 8.33E+05 2.19E+12 1.89E-02 6.48E+00 7.47E-12 r  4.5
  5.43E+10 1.04E-03 3.83E+33 8.28E+05 2.13E+12 1.85E-02 6.50E+00 6.84E-12 r  4.5
  5.43E+10 1.02E-03 3.83E+33 8.23E+05 2.08E+12 1.81E-02 6.51E+00 6.25E-12 r  4.5
  5.44E+10 9.98E-04 3.83E+33 8.18E+05 2.02E+12 1.78E-02 6.53E+00 5.71E-12 r  4.5
  5.45E+10 9.75E-04 3.83E+33 8.13E+05 1.97E+12 1.74E-02 6.55E+00 5.22E-12 r  4.5
  5.46E+10 9.53E-04 3.83E+33 8.08E+05 1.91E+12 1.70E-02 6.57E+00 4.76E-12 r  4.5
  5.46E+10 9.31E-04 3.83E+33 8.03E+05 1.86E+12 1.67E-02 6.58E+00 4.35E-12 r  4.5
  5.47E+10 9.10E-04 3.83E+33 7.98E+05 1.81E+12 1.63E-02 6.60E+00 3.97E-12 r  4.5
  5.48E+10 8.89E-04 3.83E+33 7.93E+05 1.76E+12 1.60E-02 6.62E+00 3.62E-12 r  4.5
  5.48E+10 8.68E-04 3.83E+33 7.88E+05 1.71E+12 1.56E-02 6.64E+00 3.30E-12 r  4.5
  5.49E+10 8.48E-04 3.83E+33 7.83E+05 1.67E+12 1.53E-02 6.66E+00 3.00E-12 r  4.5
  5.50E+10 8.28E-04 3.83E+33 7.78E+05 1.62E+12 1.50E-02 6.68E+00 2.73E-12 r  4.5
  5.50E+10 8.09E-04 3.83E+33 7.73E+05 1.58E+12 1.46E-02 6.70E+00 2.49E-12 r  4.5
  5.51E+10 7.89E-04 3.83E+33 7.69E+05 1.53E+12 1.43E-02 6.72E+00 2.26E-12 r  4.5
  5.52E+10 7.71E-04 3.83E+33 7.64E+05 1.49E+12 1.40E-02 6.73E+00 2.06E-12 r  4.5
  5.52E+10 7.52E-04 3.83E+33 7.59E+05 1.45E+12 1.37E-02 6.75E+00 1.87E-12 r  4.5
  5.53E+10 7.34E-04 3.83E+33 7.54E+05 1.41E+12 1.34E-02 6.77E+00 1.70E-12 r  4.5
  5.54E+10 7.17E-04 3.83E+33 7.49E+05 1.37E+12 1.31E-02 6.79E+00 1.54E-12 r  4.5
  5.54E+10 6.99E-04 3.83E+33 7.45E+05 1.33E+12 1.28E-02 6.81E+00 1.40E-12 r  4.5
  5.55E+10 6.82E-04 3.83E+33 7.40E+05 1.29E+12 1.26E-02 6.83E+00 1.27E-12 r  4.5
  5.56E+10 6.65E-04 3.83E+33 7.35E+05 1.26E+12 1.23E-02 6.85E+00 1.15E-12 r  4.5
  5.57E+10 6.49E-04 3.83E+33 7.30E+05 1.22E+12 1.20E-02 6.87E+00 1.04E-12 r  4.5
  5.57E+10 6.33E-04 3.83E+33 7.26E+05 1.19E+12 1.17E-02 6.89E+00 9.40E-13 r  4.5
  5.58E+10 6.17E-04 3.83E+33 7.21E+05 1.15E+12 1.15E-02 6.91E+00 8.50E-13 r  4.5
  5.59E+10 6.02E-04 3.83E+33 7.16E+05 1.12E+12 1.12E-02 6.93E+00 7.68E-13 r  4.5
  5.59E+10 5.87E-04 3.83E+33 7.11E+05 1.09E+12 1.10E-02 6.96E+00 6.94E-13 r  4.5
  5.60E+10 5.72E-04 3.83E+33 7.07E+05 1.05E+12 1.07E-02 6.98E+00 6.27E-13 r  4.5
  5.61E+10 5.58E-04 3.83E+33 7.02E+05 1.02E+12 1.05E-02 7.00E+00 5.66E-13 r  4.5
  5.61E+10 5.44E-04 3.83E+33 6.97E+05 9.94E+11 1.02E-02 7.02E+00 5.10E-13 r  4.5
  5.62E+10 5.30E-04 3.83E+33 6.93E+05 9.64E+11 9.99E-03 7.04E+00 4.60E-13 r  4.5
  5.63E+10 5.16E-04 3.83E+33 6.88E+05 9.36E+11 9.76E-03 7.06E+00 4.14E-13 r  4.5
  5.63E+10 5.03E-04 3.83E+33 6.84E+05 9.08E+11 9.54E-03 7.08E+00 3.73E-13 r  4.5
  5.64E+10 4.90E-04 3.83E+33 6.79E+05 8.81E+11 9.32E-03 7.11E+00 3.35E-13 r  4.5
  5.65E+10 4.77E-04 3.83E+33 6.74E+05 8.54E+11 9.10E-03 7.13E+00 3.01E-13 r  4.5
  5.66E+10 4.64E-04 3.83E+33 6.70E+05 8.29E+11 8.89E-03 7.15E+00 2.71E-13 r  4.5
  5.66E+10 4.52E-04 3.83E+33 6.65E+05 8.04E+11 8.68E-03 7.17E+00 2.43E-13 r  4.5
  5.67E+10 4.40E-04 3.83E+33 6.61E+05 7.79E+11 8.47E-03 7.20E+00 2.18E-13 r  4.5
  5.68E+10 4.29E-04 3.83E+33 6.56E+05 7.55E+11 8.27E-03 7.22E+00 1.96E-13 r  4.5
  5.68E+10 4.17E-04 3.83E+33 6.51E+05 7.32E+11 8.07E-03 7.24E+00 1.75E-13 r  4.5
  5.69E+10 4.06E-04 3.83E+33 6.47E+05 7.10E+11 7.88E-03 7.27E+00 1.57E-13 r  4.5
  5.70E+10 3.95E-04 3.83E+33 6.42E+05 6.88E+11 7.69E-03 7.29E+00 1.40E-13 r  4.5
  5.70E+10 3.84E-04 3.83E+33 6.38E+05 6.66E+11 7.50E-03 7.31E+00 1.25E-13 r  4.5
  5.71E+10 3.74E-04 3.83E+33 6.33E+05 6.46E+11 7.32E-03 7.34E+00 1.12E-13 r  4.5
  5.72E+10 3.63E-04 3.83E+33 6.29E+05 6.25E+11 7.14E-03 7.36E+00 1.00E-13 r  4.5
  5.72E+10 3.53E-04 3.83E+33 6.24E+05 6.06E+11 6.97E-03 7.39E+00 8.92E-14 r  4.5
  5.73E+10 3.43E-04 3.83E+33 6.20E+05 5.87E+11 6.79E-03 7.41E+00 7.95E-14 r  4.5
  5.74E+10 3.34E-04 3.83E+33 6.15E+05 5.68E+11 6.63E-03 7.44E+00 7.08E-14 r  4.5
  5.74E+10 3.24E-04 3.83E+33 6.11E+05 5.50E+11 6.46E-03 7.46E+00 6.30E-14 r  4.5
  5.75E+10 3.15E-04 3.83E+33 6.07E+05 5.32E+11 6.30E-03 7.49E+00 5.60E-14 r  4.5
  5.76E+10 3.06E-04 3.83E+33 6.02E+05 5.15E+11 6.14E-03 7.51E+00 4.98E-14 r  4.5
  5.77E+10 2.98E-04 3.83E+33 5.98E+05 4.98E+11 5.99E-03 7.54E+00 4.42E-14 r  4.5
  5.77E+10 2.89E-04 3.83E+33 5.93E+05 4.82E+11 5.83E-03 7.56E+00 3.92E-14 r  4.5
  5.78E+10 2.81E-04 3.83E+33 5.89E+05 4.66E+11 5.68E-03 7.59E+00 3.47E-14 r  4.5
  5.79E+10 2.73E-04 3.83E+33 5.85E+05 4.51E+11 5.54E-03 7.62E+00 3.08E-14 r  4.5
  5.79E+10 2.65E-04 3.83E+33 5.80E+05 4.36E+11 5.40E-03 7.64E+00 2.72E-14 r  4.5
  5.80E+10 2.57E-04 3.83E+33 5.76E+05 4.22E+11 5.26E-03 7.67E+00 2.41E-14 r  4.5
  5.81E+10 2.49E-04 3.83E+33 5.72E+05 4.07E+11 5.12E-03 7.70E+00 2.13E-14 r  4.5
  5.81E+10 2.42E-04 3.83E+33 5.67E+05 3.94E+11 4.99E-03 7.73E+00 1.88E-14 r  4.5
  5.82E+10 2.34E-04 3.83E+33 5.63E+05 3.80E+11 4.85E-03 7.75E+00 1.65E-14 r  4.5
  5.83E+10 2.27E-04 3.83E+33 5.59E+05 3.68E+11 4.73E-03 7.78E+00 1.46E-14 r  4.5
  5.83E+10 2.21E-04 3.83E+33 5.54E+05 3.55E+11 4.60E-03 7.81E+00 1.28E-14 r  4.5
  5.84E+10 2.14E-04 3.83E+33 5.50E+05 3.43E+11 4.48E-03 7.84E+00 1.13E-14 r  4.5
  5.85E+10 2.07E-04 3.83E+33 5.46E+05 3.31E+11 4.36E-03 7.87E+00 9.90E-15 r  4.5
  5.85E+10 2.01E-04 3.83E+33 5.41E+05 3.20E+11 4.24E-03 7.90E+00 8.68E-15 r  4.5
  5.86E+10 1.95E-04 3.83E+33 5.37E+05 3.08E+11 4.12E-03 7.93E+00 7.61E-15 r  4.5
  5.87E+10 1.88E-04 3.83E+33 5.33E+05 2.98E+11 4.01E-03 7.96E+00 6.66E-15 r  4.5
  5.88E+10 1.83E-04 3.83E+33 5.29E+05 2.87E+11 3.90E-03 7.99E+00 5.83E-15 r  4.5
  5.88E+10 1.77E-04 3.83E+33 5.24E+05 2.77E+11 3.79E-03 8.02E+00 5.09E-15 r  4.5
  5.89E+10 1.71E-04 3.83E+33 5.20E+05 2.67E+11 3.69E-03 8.05E+00 4.45E-15 r  4.5
  5.90E+10 1.66E-04 3.83E+33 5.16E+05 2.58E+11 3.58E-03 8.08E+00 3.88E-15 r  4.5
  5.90E+10 1.60E-04 3.83E+33 5.12E+05 2.48E+11 3.48E-03 8.11E+00 3.38E-15 r  4.5
  5.91E+10 1.55E-04 3.83E+33 5.08E+05 2.39E+11 3.38E-03 8.14E+00 2.94E-15 r  4.5
  5.92E+10 1.50E-04 3.83E+33 5.03E+05 2.31E+11 3.29E-03 8.18E+00 2.55E-15 r  4.5
  5.92E+10 1.45E-04 3.83E+33 4.99E+05 2.22E+11 3.19E-03 8.21E+00 2.22E-15 r  4.5
  5.93E+10 1.40E-04 3.83E+33 4.95E+05 2.14E+11 3.10E-03 8.24E+00 1.92E-15 r  4.5
  5.94E+10 1.36E-04 3.83E+33 4.91E+05 2.06E+11 3.01E-03 8.27E+00 1.66E-15 r  4.5
  5.94E+10 1.31E-04 3.83E+33 4.87E+05 1.98E+11 2.92E-03 8.31E+00 1.44E-15 r  4.5
  5.95E+10 1.27E-04 3.83E+33 4.83E+05 1.91E+11 2.84E-03 8.34E+00 1.24E-15 r  4.5
  5.96E+10 1.22E-04 3.83E+33 4.79E+05 1.84E+11 2.76E-03 8.38E+00 1.07E-15 r  4.5
  5.97E+10 1.18E-04 3.83E+33 4.74E+05 1.77E+11 2.67E-03 8.41E+00 9.24E-16 r  4.5
  5.97E+10 1.14E-04 3.83E+33 4.70E+05 1.70E+11 2.59E-03 8.45E+00 7.95E-16 r  4.5
  5.98E+10 1.10E-04 3.83E+33 4.66E+05 1.63E+11 2.52E-03 8.48E+00 6.83E-16 r  4.5
  5.99E+10 1.06E-04 3.83E+33 4.62E+05 1.57E+11 2.44E-03 8.52E+00 5.86E-16 r  4.5
  5.99E+10 1.02E-04 3.83E+33 4.58E+05 1.51E+11 2.37E-03 8.56E+00 5.02E-16 r  4.5
  6.00E+10 9.87E-05 3.83E+33 4.54E+05 1.45E+11 2.29E-03 8.59E+00 4.30E-16 r  4.5
  6.01E+10 9.52E-05 3.83E+33 4.50E+05 1.39E+11 2.22E-03 8.63E+00 3.68E-16 r  4.5
  6.01E+10 9.17E-05 3.83E+33 4.46E+05 1.34E+11 2.15E-03 8.67E+00 3.14E-16 r  4.5
  6.02E+10 8.84E-05 3.83E+33 4.42E+05 1.28E+11 2.09E-03 8.71E+00 2.67E-16 r  4.5
  6.03E+10 8.52E-05 3.83E+33 4.38E+05 1.23E+11 2.02E-03 8.74E+00 2.27E-16 r  4.5
  6.03E+10 8.20E-05 3.83E+33 4.34E+05 1.18E+11 1.96E-03 8.78E+00 1.93E-16 r  4.5
  6.04E+10 7.90E-05 3.83E+33 4.30E+05 1.13E+11 1.89E-03 8.82E+00 1.64E-16 r  4.5
  6.05E+10 7.60E-05 3.83E+33 4.26E+05 1.09E+11 1.83E-03 8.86E+00 1.39E-16 r  4.5
  6.05E+10 7.31E-05 3.83E+33 4.22E+05 1.04E+11 1.77E-03 8.90E+00 1.17E-16 r  4.5
  6.06E+10 7.03E-05 3.83E+33 4.18E+05 9.99E+10 1.72E-03 8.95E+00 9.91E-17 r  4.5
  6.07E+10 6.76E-05 3.83E+33 4.14E+05 9.57E+10 1.66E-03 8.99E+00 8.35E-17 r  4.5
  6.08E+10 6.50E-05 3.83E+33 4.10E+05 9.16E+10 1.60E-03 9.03E+00 7.03E-17 r  4.5
  6.08E+10 6.25E-05 3.83E+33 4.06E+05 8.77E+10 1.55E-03 9.07E+00 5.90E-17 r  4.5
  6.09E+10 6.00E-05 3.83E+33 4.02E+05 8.40E+10 1.50E-03 9.12E+00 4.95E-17 r  4.5
  6.10E+10 5.76E-05 3.83E+33 3.98E+05 8.03E+10 1.45E-03 9.16E+00 4.14E-17 r  4.5
  6.10E+10 5.53E-05 3.83E+33 3.94E+05 7.68E+10 1.40E-03 9.20E+00 3.46E-17 r  4.5
  6.11E+10 5.31E-05 3.83E+33 3.90E+05 7.35E+10 1.35E-03 9.25E+00 2.89E-17 r  4.5
  6.12E+10 5.10E-05 3.83E+33 3.86E+05 7.02E+10 1.30E-03 9.30E+00 2.40E-17 r  4.5
  6.12E+10 4.89E-05 3.83E+33 3.83E+05 6.71E+10 1.26E-03 9.34E+00 2.00E-17 r  4.5
  6.13E+10 4.68E-05 3.83E+33 3.79E+05 6.41E+10 1.21E-03 9.39E+00 1.65E-17 r  4.5
  6.14E+10 4.49E-05 3.83E+33 3.75E+05 6.12E+10 1.17E-03 9.44E+00 1.37E-17 r  4.5
  6.14E+10 4.30E-05 3.83E+33 3.71E+05 5.84E+10 1.13E-03 9.49E+00 1.13E-17 r  4.5
  6.15E+10 4.12E-05 3.83E+33 3.67E+05 5.57E+10 1.09E-03 9.54E+00 9.31E-18 r  4.5
  6.16E+10 3.94E-05 3.83E+33 3.63E+05 5.31E+10 1.05E-03 9.59E+00 7.65E-18 r  4.5
  6.16E+10 3.77E-05 3.83E+33 3.59E+05 5.06E+10 1.01E-03 9.64E+00 6.28E-18 r  4.5
  6.17E+10 3.61E-05 3.83E+33 3.56E+05 4.83E+10 9.74E-04 9.69E+00 5.14E-18 r  4.5
  6.18E+10 3.45E-05 3.83E+33 3.52E+05 4.60E+10 9.38E-04 9.74E+00 4.19E-18 r  4.5
  6.19E+10 3.29E-05 3.83E+33 3.48E+05 4.38E+10 9.03E-04 9.79E+00 3.42E-18 r  4.5
  6.19E+10 3.15E-05 3.83E+33 3.44E+05 4.16E+10 8.69E-04 9.85E+00 2.78E-18 r  4.5
  6.20E+10 3.00E-05 3.83E+33 3.40E+05 3.96E+10 8.36E-04 9.90E+00 2.25E-18 r  4.5
  6.21E+10 2.87E-05 3.83E+33 3.37E+05 3.77E+10 8.03E-04 9.96E+00 1.82E-18 r  4.5
  6.21E+10 2.74E-05 3.83E+33 3.33E+05 3.58E+10 7.72E-04 1.00E+01 1.47E-18 r  4.5
  6.22E+10 2.61E-05 3.83E+33 3.29E+05 3.40E+10 7.42E-04 1.01E+01 1.18E-18 r  4.5
  6.23E+10 2.49E-05 3.83E+33 3.25E+05 3.23E+10 7.13E-04 1.01E+01 9.47E-19 r  4.5
  6.23E+10 2.37E-05 3.83E+33 3.22E+05 3.07E+10 6.84E-04 1.02E+01 7.58E-19 r  4.5
  6.24E+10 2.25E-05 3.83E+33 3.18E+05 2.91E+10 6.57E-04 1.02E+01 6.04E-19 r  4.5
  6.25E+10 2.14E-05 3.83E+33 3.14E+05 2.76E+10 6.30E-04 1.03E+01 4.81E-19 r  4.5
  6.25E+10 2.04E-05 3.83E+33 3.10E+05 2.61E+10 6.04E-04 1.04E+01 3.81E-19 r  4.5
  6.26E+10 1.94E-05 3.83E+33 3.07E+05 2.47E+10 5.79E-04 1.04E+01 3.01E-19 r  4.5
  6.27E+10 1.84E-05 3.83E+33 3.03E+05 2.34E+10 5.55E-04 1.05E+01 2.38E-19 r  4.5
  6.28E+10 1.75E-05 3.83E+33 2.99E+05 2.22E+10 5.32E-04 1.06E+01 1.87E-19 r  4.5
  6.28E+10 1.66E-05 3.83E+33 2.96E+05 2.10E+10 5.09E-04 1.06E+01 1.46E-19 r  4.5
  6.29E+10 1.57E-05 3.83E+33 2.92E+05 1.98E+10 4.87E-04 1.07E+01 1.14E-19 r  4.5
  6.30E+10 1.49E-05 3.83E+33 2.88E+05 1.87E+10 4.66E-04 1.08E+01 8.87E-20 r  4.5
  6.30E+10 1.41E-05 3.83E+33 2.85E+05 1.77E+10 4.45E-04 1.08E+01 6.88E-20 r  4.5
  6.31E+10 1.34E-05 3.83E+33 2.81E+05 1.67E+10 4.25E-04 1.09E+01 5.31E-20 r  4.5
  6.32E+10 1.27E-05 3.83E+33 2.77E+05 1.57E+10 4.06E-04 1.10E+01 4.08E-20 r  4.5
  6.32E+10 1.20E-05 3.83E+33 2.74E+05 1.48E+10 3.88E-04 1.11E+01 3.13E-20 r  4.5
  6.33E+10 1.13E-05 3.83E+33 2.70E+05 1.39E+10 3.70E-04 1.11E+01 2.39E-20 r  4.5
  6.34E+10 1.07E-05 3.83E+33 2.66E+05 1.31E+10 3.53E-04 1.12E+01 1.82E-20 r  4.5
  6.34E+10 1.01E-05 3.83E+33 2.63E+05 1.23E+10 3.36E-04 1.13E+01 1.37E-20 r  4.5
  6.35E+10 9.50E-06 3.83E+33 2.59E+05 1.16E+10 3.20E-04 1.14E+01 1.04E-20 r  4.5
  6.36E+10 8.95E-06 3.83E+33 2.56E+05 1.09E+10 3.05E-04 1.15E+01 7.78E-21 r  4.5
  6.36E+10 8.43E-06 3.83E+33 2.52E+05 1.02E+10 2.90E-04 1.15E+01 5.81E-21 r  4.5
  6.37E+10 7.93E-06 3.83E+33 2.48E+05 9.55E+09 2.76E-04 1.16E+01 4.32E-21 r  4.5
  6.38E+10 7.45E-06 3.83E+33 2.45E+05 8.95E+09 2.62E-04 1.17E+01 3.20E-21 r  4.5
  6.39E+10 7.00E-06 3.83E+33 2.41E+05 8.38E+09 2.49E-04 1.18E+01 2.35E-21 r  4.5
  6.39E+10 6.57E-06 3.83E+33 2.38E+05 7.83E+09 2.36E-04 1.19E+01 1.72E-21 r  4.5
  6.40E+10 6.16E-06 3.83E+33 2.34E+05 7.32E+09 2.24E-04 1.20E+01 1.26E-21 r  4.5
  6.41E+10 5.77E-06 3.83E+33 2.31E+05 6.83E+09 2.12E-04 1.21E+01 9.10E-22 r  4.5
  6.41E+10 5.40E-06 3.83E+33 2.27E+05 6.37E+09 2.01E-04 1.22E+01 6.55E-22 r  4.5
  6.42E+10 5.05E-06 3.83E+33 2.24E+05 5.94E+09 1.90E-04 1.23E+01 4.69E-22 r  4.5
  6.43E+10 4.72E-06 3.83E+33 2.20E+05 5.52E+09 1.80E-04 1.24E+01 3.34E-22 r  4.5
  6.43E+10 4.40E-06 3.83E+33 2.17E+05 5.14E+09 1.70E-04 1.25E+01 2.36E-22 r  4.5
  6.44E+10 4.10E-06 3.83E+33 2.13E+05 4.77E+09 1.61E-04 1.26E+01 1.66E-22 r  4.5
  6.45E+10 3.82E-06 3.83E+33 2.10E+05 4.43E+09 1.52E-04 1.27E+01 1.16E-22 r  4.5
  6.45E+10 3.55E-06 3.83E+33 2.06E+05 4.11E+09 1.43E-04 1.28E+01 8.05E-23 r  4.5
  6.46E+10 3.30E-06 3.83E+33 2.03E+05 3.80E+09 1.35E-04 1.29E+01 5.54E-23 r  4.5
  6.47E+10 3.07E-06 3.83E+33 1.99E+05 3.52E+09 1.27E-04 1.30E+01 3.79E-23 r  4.5
  6.47E+10 2.84E-06 3.83E+33 1.96E+05 3.25E+09 1.19E-04 1.32E+01 2.57E-23 r  4.5
  6.48E+10 2.63E-06 3.83E+33 1.92E+05 3.00E+09 1.12E-04 1.33E+01 1.73E-23 r  4.5
  6.49E+10 2.43E-06 3.83E+33 1.89E+05 2.76E+09 1.05E-04 1.34E+01 1.15E-23 r  4.5
  6.50E+10 2.25E-06 3.83E+33 1.86E+05 2.54E+09 9.83E-05 1.35E+01 7.62E-24 r  4.5
  6.50E+10 2.07E-06 3.83E+33 1.82E+05 2.34E+09 9.20E-05 1.37E+01 4.99E-24 r  4.5
  6.51E+10 1.91E-06 3.83E+33 1.79E+05 2.14E+09 8.61E-05 1.38E+01 3.24E-24 r  4.5
  6.52E+10 1.75E-06 3.83E+33 1.75E+05 1.96E+09 8.04E-05 1.40E+01 2.09E-24 r  4.5
  6.52E+10 1.61E-06 3.83E+33 1.72E+05 1.80E+09 7.50E-05 1.41E+01 1.33E-24 r  4.5
  6.53E+10 1.48E-06 3.83E+33 1.69E+05 1.64E+09 6.99E-05 1.43E+01 8.36E-25 r  4.5
  6.54E+10 1.35E-06 3.83E+33 1.65E+05 1.50E+09 6.50E-05 1.44E+01 5.20E-25 r  4.5
  6.54E+10 1.23E-06 3.83E+33 1.62E+05 1.36E+09 6.04E-05 1.46E+01 3.20E-25 r  4.5
  6.55E+10 1.13E-06 3.83E+33 1.58E+05 1.24E+09 5.61E-05 1.47E+01 1.95E-25 r  4.5
  6.56E+10 1.02E-06 3.83E+33 1.55E+05 1.12E+09 5.20E-05 1.49E+01 1.17E-25 r  4.5
  6.56E+10 9.31E-07 3.83E+33 1.52E+05 1.02E+09 4.81E-05 1.51E+01 6.93E-26 r  4.5
  6.57E+10 8.44E-07 3.83E+33 1.48E+05 9.19E+08 4.45E-05 1.53E+01 4.05E-26 r  4.5
  6.58E+10 7.64E-07 3.83E+33 1.45E+05 8.29E+08 4.10E-05 1.55E+01 2.33E-26 r  4.5
  6.59E+10 6.90E-07 3.83E+33 1.42E+05 7.46E+08 3.78E-05 1.57E+01 1.32E-26 r  4.6
  6.59E+10 6.21E-07 3.83E+33 1.38E+05 6.69E+08 3.47E-05 1.59E+01 7.38E-27 r  4.6
  6.60E+10 5.58E-07 3.83E+33 1.35E+05 5.99E+08 3.18E-05 1.61E+01 4.05E-27 r  4.6
  6.61E+10 5.00E-07 3.83E+33 1.32E+05 5.35E+08 2.92E-05 1.63E+01 2.18E-27 r  4.6
  6.61E+10 4.47E-07 3.83E+33 1.28E+05 4.77E+08 2.66E-05 1.65E+01 1.15E-27 r  4.6
  6.62E+10 3.99E-07 3.83E+33 1.25E+05 4.24E+08 2.43E-05 1.67E+01 5.98E-28 r  4.6
  6.63E+10 3.55E-07 3.83E+33 1.22E+05 3.75E+08 2.21E-05 1.70E+01 3.03E-28 r  4.6
  6.63E+10 3.14E-07 3.83E+33 1.19E+05 3.32E+08 2.01E-05 1.72E+01 1.50E-28 r  4.6
  6.64E+10 2.78E-07 3.83E+33 1.15E+05 2.92E+08 1.82E-05 1.75E+01 7.29E-29 r  4.6
  6.65E+10 2.45E-07 3.83E+33 1.12E+05 2.56E+08 1.64E-05 1.78E+01 3.44E-29 r  4.6
  6.65E+10 2.15E-07 3.83E+33 1.09E+05 2.24E+08 1.48E-05 1.81E+01 1.58E-29 r  4.6
  6.66E+10 1.88E-07 3.83E+33 1.06E+05 1.95E+08 1.33E-05 1.84E+01 7.06E-30 r  4.6
  6.67E+10 1.63E-07 3.83E+33 1.02E+05 1.69E+08 1.19E-05 1.87E+01 3.06E-30 r  4.6
  6.67E+10 1.42E-07 3.83E+33 9.91E+04 1.46E+08 1.06E-05 1.90E+01 1.28E-30 r  4.6
  6.68E+10 1.22E-07 3.83E+33 9.59E+04 1.26E+08 9.41E-06 1.94E+01 5.17E-31 r  4.6
  6.69E+10 1.05E-07 3.83E+33 9.26E+04 1.08E+08 8.33E-06 1.98E+01 2.01E-31 r  4.6
  6.70E+10 8.96E-08 3.83E+33 8.94E+04 9.16E+07 7.35E-06 2.02E+01 7.52E-32 r  4.6
  6.70E+10 7.62E-08 3.83E+33 8.62E+04 7.76E+07 6.45E-06 2.06E+01 2.68E-32 r  4.6
  6.71E+10 6.43E-08 3.83E+33 8.30E+04 6.53E+07 5.64E-06 2.10E+01 9.13E-33 r  4.6
  6.72E+10 5.40E-08 3.83E+33 7.98E+04 5.46E+07 4.91E-06 2.15E+01 2.95E-33 r  4.6
  6.72E+10 4.50E-08 3.83E+33 7.67E+04 4.54E+07 4.24E-06 2.20E+01 8.98E-34 r  4.6
  6.73E+10 3.73E-08 3.83E+33 7.35E+04 3.74E+07 3.65E-06 2.25E+01 2.57E-34 r  4.6
  6.74E+10 3.06E-08 3.83E+33 7.03E+04 3.06E+07 3.12E-06 2.31E+01 6.86E-35 r  4.6
  6.74E+10 2.49E-08 3.83E+33 6.72E+04 2.48E+07 2.65E-06 2.37E+01 1.70E-35 r  4.6
  6.75E+10 2.01E-08 3.83E+33 6.40E+04 1.99E+07 2.23E-06 2.43E+01 3.86E-36 r  4.6
  6.76E+10 1.61E-08 3.83E+33 6.09E+04 1.58E+07 1.86E-06 2.50E+01 7.98E-37 r  4.6
  6.76E+10 1.27E-08 3.83E+33 5.77E+04 1.24E+07 1.54E-06 2.58E+01 1.49E-37 r  4.6
  6.77E+10 9.89E-09 3.83E+33 5.46E+04 9.63E+06 1.26E-06 2.66E+01 2.45E-38 r  4.6
  6.78E+10 7.61E-09 3.83E+33 5.15E+04 7.35E+06 1.02E-06 2.76E+01 3.54E-39 r  4.6
  6.78E+10 5.77E-09 3.83E+33 4.84E+04 5.53E+06 8.19E-07 2.86E+01 4.38E-40 r  4.6
  6.79E+10 4.31E-09 3.83E+33 4.53E+04 4.08E+06 6.46E-07 2.97E+01 4.54E-41 r  4.6
  6.80E+10 3.16E-09 3.83E+33 4.22E+04 2.95E+06 5.01E-07 3.09E+01 3.82E-42 r  4.6
  6.81E+10 2.28E-09 3.83E+33 3.91E+04 2.08E+06 3.82E-07 3.23E+01 2.52E-43 r  4.6
  6.81E+10 1.61E-09 3.83E+33 3.60E+04 1.43E+06 2.84E-07 3.40E+01 1.24E-44 r  4.6
  6.82E+10 1.12E-09 3.83E+33 3.29E+04 9.49E+05 2.07E-07 3.59E+01 4.24E-46 r  4.6
  6.83E+10 6.99E-10 3.83E+33 2.96E+04 5.79E+05 1.40E-07 3.80E+01 6.87E-48 r  4.6
  6.83E+10 4.15E-10 3.83E+33 2.63E+04 3.34E+05 9.10E-08 4.05E+01 5.83E-50 r  4.7
  6.84E+10 2.30E-10 3.83E+33 2.30E+04 1.78E+05 5.56E-08 4.35E+01 2.12E-52 r  4.7
  6.85E+10 1.17E-10 3.83E+33 1.97E+04 8.64E+04 3.14E-08 4.72E+01 2.41E-55 r  4.7
