                A Homogeneous Main-Sequence Model

 
 The surface conditions are:          The central conditions are:

 Mtot =      1.500000 Msun            Mc/Mtot     = -6.02913E-04
 Rtot =      1.240758 Rsun            Rc/Rtot     =  1.68000E-01
 Ltot =      1.800000 Lsun            Lc/Ltot     =  9.20677E-01
 Teff =   6000.000000 K               Density     =  0.00000E+00 g/cm**3
 X    =      0.700000                 Temperature =  0.00000E+00 K
 Y    =      0.292000                 Pressure    =  0.00000E+00 dynes/cm**2
 Z    =      0.008000                 epsilon     =  0.00000E+00 ergs/s/g
                                      dlnP/dlnT   =  2.49812E+00


 
 Notes: 
 (1) Mass is listed as Qm = 1.0 - M_r/Mtot, where Mtot =  2.983500E+33 g
 (2) Convective zones are indicated by c, radiative zones by r
 (3) dlnP/dlnT may be limited to +99.9 or -99.9; if so it is labeled by *


      r       Qm       L_r       T        P       rho      kap      eps   dlPdlT
  6.96E+10 9.46E-04 6.89E+33 9.07E+05 1.64E+12 1.35E-02 9.96E+00 1.19E-11 r  4.6
  6.97E+10 9.23E-04 6.89E+33 9.01E+05 1.59E+12 1.32E-02 1.00E+01 1.09E-11 r  4.6
  6.98E+10 9.00E-04 6.89E+33 8.95E+05 1.54E+12 1.29E-02 1.00E+01 9.88E-12 r  4.6
  6.99E+10 8.77E-04 6.89E+33 8.90E+05 1.50E+12 1.26E-02 1.01E+01 8.99E-12 r  4.6
  6.99E+10 8.55E-04 6.89E+33 8.84E+05 1.46E+12 1.23E-02 1.01E+01 8.18E-12 r  4.6
  7.00E+10 8.34E-04 6.89E+33 8.78E+05 1.41E+12 1.20E-02 1.01E+01 7.43E-12 r  4.6
  7.01E+10 8.12E-04 6.89E+33 8.72E+05 1.37E+12 1.17E-02 1.02E+01 6.75E-12 r  4.6
  7.02E+10 7.92E-04 6.89E+33 8.67E+05 1.33E+12 1.15E-02 1.02E+01 6.13E-12 r  4.6
  7.03E+10 7.71E-04 6.89E+33 8.61E+05 1.29E+12 1.12E-02 1.03E+01 5.56E-12 r  4.6
  7.04E+10 7.51E-04 6.89E+33 8.55E+05 1.25E+12 1.09E-02 1.03E+01 5.04E-12 r  4.6
  7.05E+10 7.32E-04 6.89E+33 8.50E+05 1.22E+12 1.07E-02 1.03E+01 4.57E-12 r  4.6
  7.06E+10 7.13E-04 6.89E+33 8.44E+05 1.18E+12 1.04E-02 1.04E+01 4.14E-12 r  4.6
  7.06E+10 6.94E-04 6.89E+33 8.38E+05 1.14E+12 1.02E-02 1.04E+01 3.75E-12 r  4.6
  7.07E+10 6.76E-04 6.89E+33 8.33E+05 1.11E+12 9.94E-03 1.04E+01 3.39E-12 r  4.6
  7.08E+10 6.58E-04 6.89E+33 8.27E+05 1.08E+12 9.70E-03 1.05E+01 3.06E-12 r  4.6
  7.09E+10 6.41E-04 6.89E+33 8.21E+05 1.04E+12 9.47E-03 1.05E+01 2.77E-12 r  4.6
  7.10E+10 6.23E-04 6.89E+33 8.16E+05 1.01E+12 9.24E-03 1.06E+01 2.50E-12 r  4.6
  7.11E+10 6.07E-04 6.89E+33 8.10E+05 9.79E+11 9.02E-03 1.06E+01 2.26E-12 r  4.6
  7.12E+10 5.90E-04 6.89E+33 8.05E+05 9.49E+11 8.80E-03 1.06E+01 2.03E-12 r  4.6
  7.12E+10 5.74E-04 6.89E+33 7.99E+05 9.20E+11 8.58E-03 1.07E+01 1.83E-12 r  4.6
  7.13E+10 5.59E-04 6.89E+33 7.94E+05 8.91E+11 8.38E-03 1.07E+01 1.65E-12 r  4.6
  7.14E+10 5.43E-04 6.89E+33 7.88E+05 8.63E+11 8.17E-03 1.08E+01 1.49E-12 r  4.6
  7.15E+10 5.28E-04 6.89E+33 7.83E+05 8.36E+11 7.97E-03 1.08E+01 1.34E-12 r  4.6
  7.16E+10 5.14E-04 6.89E+33 7.77E+05 8.09E+11 7.77E-03 1.08E+01 1.20E-12 r  4.6
  7.17E+10 4.99E-04 6.89E+33 7.72E+05 7.84E+11 7.58E-03 1.09E+01 1.08E-12 r  4.6
  7.18E+10 4.85E-04 6.89E+33 7.66E+05 7.59E+11 7.39E-03 1.09E+01 9.69E-13 r  4.6
  7.18E+10 4.72E-04 6.89E+33 7.61E+05 7.34E+11 7.20E-03 1.10E+01 8.69E-13 r  4.6
  7.19E+10 4.58E-04 6.89E+33 7.55E+05 7.11E+11 7.02E-03 1.10E+01 7.79E-13 r  4.6
  7.20E+10 4.45E-04 6.89E+33 7.50E+05 6.88E+11 6.84E-03 1.11E+01 6.97E-13 r  4.6
  7.21E+10 4.32E-04 6.89E+33 7.44E+05 6.65E+11 6.67E-03 1.11E+01 6.24E-13 r  4.6
  7.22E+10 4.20E-04 6.89E+33 7.39E+05 6.44E+11 6.50E-03 1.12E+01 5.58E-13 r  4.6
  7.23E+10 4.08E-04 6.89E+33 7.34E+05 6.23E+11 6.33E-03 1.12E+01 4.99E-13 r  4.6
  7.24E+10 3.96E-04 6.89E+33 7.28E+05 6.02E+11 6.17E-03 1.12E+01 4.45E-13 r  4.6
  7.25E+10 3.84E-04 6.89E+33 7.23E+05 5.82E+11 6.01E-03 1.13E+01 3.97E-13 r  4.6
  7.25E+10 3.73E-04 6.89E+33 7.18E+05 5.63E+11 5.85E-03 1.13E+01 3.54E-13 r  4.6
  7.26E+10 3.62E-04 6.89E+33 7.12E+05 5.44E+11 5.70E-03 1.14E+01 3.15E-13 r  4.6
  7.27E+10 3.51E-04 6.89E+33 7.07E+05 5.26E+11 5.55E-03 1.14E+01 2.81E-13 r  4.6
  7.28E+10 3.41E-04 6.89E+33 7.02E+05 5.08E+11 5.40E-03 1.15E+01 2.50E-13 r  4.6
  7.29E+10 3.30E-04 6.89E+33 6.96E+05 4.91E+11 5.26E-03 1.15E+01 2.22E-13 r  4.6
  7.30E+10 3.20E-04 6.89E+33 6.91E+05 4.74E+11 5.12E-03 1.16E+01 1.97E-13 r  4.6
  7.31E+10 3.10E-04 6.89E+33 6.86E+05 4.58E+11 4.98E-03 1.16E+01 1.75E-13 r  4.6
  7.31E+10 3.01E-04 6.89E+33 6.80E+05 4.42E+11 4.84E-03 1.17E+01 1.55E-13 r  4.6
  7.32E+10 2.92E-04 6.89E+33 6.75E+05 4.26E+11 4.71E-03 1.17E+01 1.37E-13 r  4.6
  7.33E+10 2.83E-04 6.89E+33 6.70E+05 4.12E+11 4.58E-03 1.18E+01 1.21E-13 r  4.6
  7.34E+10 2.74E-04 6.89E+33 6.65E+05 3.97E+11 4.46E-03 1.18E+01 1.07E-13 r  4.6
  7.35E+10 2.65E-04 6.89E+33 6.60E+05 3.83E+11 4.33E-03 1.19E+01 9.46E-14 r  4.6
  7.36E+10 2.57E-04 6.89E+33 6.54E+05 3.70E+11 4.21E-03 1.19E+01 8.34E-14 r  4.6
  7.37E+10 2.48E-04 6.89E+33 6.49E+05 3.56E+11 4.09E-03 1.20E+01 7.35E-14 r  4.6
  7.37E+10 2.41E-04 6.89E+33 6.44E+05 3.44E+11 3.98E-03 1.20E+01 6.47E-14 r  4.6
  7.38E+10 2.33E-04 6.89E+33 6.39E+05 3.31E+11 3.87E-03 1.21E+01 5.69E-14 r  4.6
  7.39E+10 2.25E-04 6.89E+33 6.34E+05 3.19E+11 3.76E-03 1.22E+01 5.00E-14 r  4.6
  7.40E+10 2.18E-04 6.89E+33 6.29E+05 3.08E+11 3.65E-03 1.22E+01 4.39E-14 r  4.6
  7.41E+10 2.11E-04 6.89E+33 6.23E+05 2.96E+11 3.55E-03 1.23E+01 3.85E-14 r  4.6
  7.42E+10 2.04E-04 6.89E+33 6.18E+05 2.85E+11 3.44E-03 1.23E+01 3.37E-14 r  4.6
  7.43E+10 1.97E-04 6.89E+33 6.13E+05 2.75E+11 3.34E-03 1.24E+01 2.95E-14 r  4.6
  7.44E+10 1.90E-04 6.89E+33 6.08E+05 2.65E+11 3.24E-03 1.24E+01 2.58E-14 r  4.6
  7.44E+10 1.84E-04 6.89E+33 6.03E+05 2.55E+11 3.15E-03 1.25E+01 2.25E-14 r  4.6
  7.45E+10 1.78E-04 6.89E+33 5.98E+05 2.45E+11 3.06E-03 1.26E+01 1.96E-14 r  4.6
  7.46E+10 1.71E-04 6.89E+33 5.93E+05 2.36E+11 2.96E-03 1.26E+01 1.71E-14 r  4.6
  7.47E+10 1.66E-04 6.89E+33 5.88E+05 2.27E+11 2.88E-03 1.27E+01 1.49E-14 r  4.6
  7.48E+10 1.60E-04 6.89E+33 5.83E+05 2.18E+11 2.79E-03 1.27E+01 1.29E-14 r  4.6
  7.49E+10 1.54E-04 6.89E+33 5.78E+05 2.10E+11 2.70E-03 1.28E+01 1.12E-14 r  4.6
  7.50E+10 1.49E-04 6.89E+33 5.73E+05 2.01E+11 2.62E-03 1.29E+01 9.71E-15 r  4.6
  7.50E+10 1.43E-04 6.89E+33 5.68E+05 1.94E+11 2.54E-03 1.29E+01 8.41E-15 r  4.6
  7.51E+10 1.38E-04 6.89E+33 5.63E+05 1.86E+11 2.46E-03 1.30E+01 7.27E-15 r  4.6
  7.52E+10 1.33E-04 6.89E+33 5.58E+05 1.79E+11 2.39E-03 1.31E+01 6.27E-15 r  4.6
  7.53E+10 1.29E-04 6.89E+33 5.53E+05 1.71E+11 2.31E-03 1.31E+01 5.41E-15 r  4.6
  7.54E+10 1.24E-04 6.89E+33 5.48E+05 1.65E+11 2.24E-03 1.32E+01 4.66E-15 r  4.6
  7.55E+10 1.19E-04 6.89E+33 5.43E+05 1.58E+11 2.17E-03 1.33E+01 4.01E-15 r  4.6
  7.56E+10 1.15E-04 6.89E+33 5.38E+05 1.51E+11 2.10E-03 1.33E+01 3.44E-15 r  4.6
  7.56E+10 1.11E-04 6.89E+33 5.33E+05 1.45E+11 2.03E-03 1.34E+01 2.95E-15 r  4.6
  7.57E+10 1.06E-04 6.89E+33 5.28E+05 1.39E+11 1.96E-03 1.35E+01 2.53E-15 r  4.6
  7.58E+10 1.02E-04 6.89E+33 5.24E+05 1.33E+11 1.90E-03 1.35E+01 2.16E-15 r  4.6
  7.59E+10 9.84E-05 6.89E+33 5.19E+05 1.28E+11 1.84E-03 1.36E+01 1.84E-15 r  4.6
  7.60E+10 9.46E-05 6.89E+33 5.14E+05 1.22E+11 1.78E-03 1.37E+01 1.57E-15 r  4.6
  7.61E+10 9.10E-05 6.89E+33 5.09E+05 1.17E+11 1.72E-03 1.38E+01 1.34E-15 r  4.6
  7.62E+10 8.74E-05 6.89E+33 5.04E+05 1.12E+11 1.66E-03 1.38E+01 1.14E-15 r  4.6
  7.63E+10 8.40E-05 6.89E+33 4.99E+05 1.07E+11 1.60E-03 1.39E+01 9.64E-16 r  4.6
  7.63E+10 8.06E-05 6.89E+33 4.95E+05 1.03E+11 1.55E-03 1.40E+01 8.16E-16 r  4.6
  7.64E+10 7.74E-05 6.89E+33 4.90E+05 9.83E+10 1.50E-03 1.41E+01 6.90E-16 r  4.6
  7.65E+10 7.43E-05 6.89E+33 4.85E+05 9.40E+10 1.45E-03 1.41E+01 5.83E-16 r  4.6
  7.66E+10 7.12E-05 6.89E+33 4.80E+05 8.98E+10 1.39E-03 1.42E+01 4.91E-16 r  4.6
  7.67E+10 6.83E-05 6.89E+33 4.75E+05 8.58E+10 1.35E-03 1.43E+01 4.13E-16 r  4.6
  7.68E+10 6.55E-05 6.89E+33 4.71E+05 8.19E+10 1.30E-03 1.44E+01 3.47E-16 r  4.6
  7.69E+10 6.27E-05 6.89E+33 4.66E+05 7.82E+10 1.25E-03 1.45E+01 2.90E-16 r  4.6
  7.69E+10 6.01E-05 6.89E+33 4.61E+05 7.46E+10 1.21E-03 1.45E+01 2.43E-16 r  4.6
  7.70E+10 5.75E-05 6.89E+33 4.56E+05 7.12E+10 1.16E-03 1.46E+01 2.03E-16 r  4.6
  7.71E+10 5.51E-05 6.89E+33 4.52E+05 6.79E+10 1.12E-03 1.47E+01 1.69E-16 r  4.6
  7.72E+10 5.27E-05 6.89E+33 4.47E+05 6.47E+10 1.08E-03 1.48E+01 1.40E-16 r  4.6
  7.73E+10 5.04E-05 6.89E+33 4.42E+05 6.17E+10 1.04E-03 1.49E+01 1.17E-16 r  4.6
  7.74E+10 4.82E-05 6.89E+33 4.38E+05 5.87E+10 1.00E-03 1.50E+01 9.65E-17 r  4.6
  7.75E+10 4.60E-05 6.89E+33 4.33E+05 5.59E+10 9.63E-04 1.51E+01 7.97E-17 r  4.6
  7.75E+10 4.40E-05 6.89E+33 4.28E+05 5.32E+10 9.27E-04 1.52E+01 6.57E-17 r  4.6
  7.76E+10 4.20E-05 6.89E+33 4.24E+05 5.06E+10 8.91E-04 1.53E+01 5.40E-17 r  4.6
  7.77E+10 4.01E-05 6.89E+33 4.19E+05 4.81E+10 8.57E-04 1.54E+01 4.43E-17 r  4.6
  7.78E+10 3.82E-05 6.89E+33 4.14E+05 4.57E+10 8.23E-04 1.55E+01 3.63E-17 r  4.6
  7.79E+10 3.64E-05 6.89E+33 4.10E+05 4.35E+10 7.91E-04 1.56E+01 2.96E-17 r  4.6
  7.80E+10 3.47E-05 6.89E+33 4.05E+05 4.13E+10 7.59E-04 1.57E+01 2.41E-17 r  4.6
  7.81E+10 3.31E-05 6.89E+33 4.01E+05 3.92E+10 7.29E-04 1.58E+01 1.96E-17 r  4.6
  7.82E+10 3.15E-05 6.89E+33 3.96E+05 3.71E+10 7.00E-04 1.59E+01 1.59E-17 r  4.6
  7.82E+10 3.00E-05 6.89E+33 3.91E+05 3.52E+10 6.71E-04 1.60E+01 1.28E-17 r  4.6
  7.83E+10 2.85E-05 6.89E+33 3.87E+05 3.34E+10 6.43E-04 1.61E+01 1.04E-17 r  4.6
  7.84E+10 2.71E-05 6.89E+33 3.82E+05 3.16E+10 6.17E-04 1.62E+01 8.32E-18 r  4.6
  7.85E+10 2.57E-05 6.89E+33 3.78E+05 2.99E+10 5.91E-04 1.63E+01 6.67E-18 r  4.6
  7.86E+10 2.44E-05 6.89E+33 3.73E+05 2.83E+10 5.66E-04 1.64E+01 5.33E-18 r  4.6
  7.87E+10 2.32E-05 6.89E+33 3.69E+05 2.68E+10 5.42E-04 1.65E+01 4.25E-18 r  4.6
  7.88E+10 2.20E-05 6.89E+33 3.64E+05 2.53E+10 5.18E-04 1.67E+01 3.38E-18 r  4.6
  7.88E+10 2.09E-05 6.89E+33 3.60E+05 2.39E+10 4.96E-04 1.68E+01 2.67E-18 r  4.6
  7.89E+10 1.98E-05 6.89E+33 3.55E+05 2.26E+10 4.74E-04 1.69E+01 2.11E-18 r  4.6
  7.90E+10 1.87E-05 6.89E+33 3.51E+05 2.13E+10 4.53E-04 1.70E+01 1.66E-18 r  4.6
  7.91E+10 1.77E-05 6.89E+33 3.46E+05 2.01E+10 4.32E-04 1.71E+01 1.30E-18 r  4.6
  7.92E+10 1.67E-05 6.89E+33 3.42E+05 1.89E+10 4.13E-04 1.73E+01 1.02E-18 r  4.6
  7.93E+10 1.58E-05 6.89E+33 3.37E+05 1.78E+10 3.94E-04 1.74E+01 7.91E-19 r  4.6
  7.94E+10 1.49E-05 6.89E+33 3.33E+05 1.68E+10 3.75E-04 1.75E+01 6.14E-19 r  4.6
  7.94E+10 1.41E-05 6.89E+33 3.28E+05 1.58E+10 3.58E-04 1.77E+01 4.74E-19 r  4.6
  7.95E+10 1.33E-05 6.89E+33 3.24E+05 1.48E+10 3.41E-04 1.78E+01 3.65E-19 r  4.6
  7.96E+10 1.25E-05 6.89E+33 3.19E+05 1.39E+10 3.24E-04 1.80E+01 2.80E-19 r  4.6
  7.97E+10 1.18E-05 6.89E+33 3.15E+05 1.30E+10 3.09E-04 1.81E+01 2.13E-19 r  4.6
  7.98E+10 1.11E-05 6.89E+33 3.11E+05 1.22E+10 2.94E-04 1.83E+01 1.62E-19 r  4.6
  7.99E+10 1.04E-05 6.89E+33 3.06E+05 1.15E+10 2.79E-04 1.84E+01 1.23E-19 r  4.6
  8.00E+10 9.81E-06 6.89E+33 3.02E+05 1.07E+10 2.65E-04 1.86E+01 9.25E-20 r  4.6
  8.01E+10 9.21E-06 6.89E+33 2.98E+05 1.00E+10 2.51E-04 1.87E+01 6.93E-20 r  4.6
  8.01E+10 8.64E-06 6.89E+33 2.93E+05 9.38E+09 2.38E-04 1.89E+01 5.17E-20 r  4.6
  8.02E+10 8.09E-06 6.89E+33 2.89E+05 8.76E+09 2.26E-04 1.90E+01 3.84E-20 r  4.6
  8.03E+10 7.58E-06 6.89E+33 2.84E+05 8.17E+09 2.14E-04 1.92E+01 2.84E-20 r  4.6
  8.04E+10 7.09E-06 6.89E+33 2.80E+05 7.62E+09 2.03E-04 1.94E+01 2.08E-20 r  4.6
  8.05E+10 6.62E-06 6.89E+33 2.76E+05 7.09E+09 1.92E-04 1.96E+01 1.52E-20 r  4.6
  8.06E+10 6.18E-06 6.89E+33 2.72E+05 6.60E+09 1.81E-04 1.97E+01 1.11E-20 r  4.6
  8.07E+10 5.77E-06 6.89E+33 2.67E+05 6.13E+09 1.71E-04 1.99E+01 7.99E-21 r  4.6
  8.07E+10 5.37E-06 6.89E+33 2.63E+05 5.70E+09 1.61E-04 2.01E+01 5.74E-21 r  4.6
  8.08E+10 5.00E-06 6.89E+33 2.59E+05 5.28E+09 1.52E-04 2.03E+01 4.09E-21 r  4.6
  8.09E+10 4.65E-06 6.89E+33 2.54E+05 4.89E+09 1.43E-04 2.05E+01 2.90E-21 r  4.6
  8.10E+10 4.32E-06 6.89E+33 2.50E+05 4.53E+09 1.35E-04 2.07E+01 2.04E-21 r  4.6
  8.11E+10 4.01E-06 6.89E+33 2.46E+05 4.19E+09 1.27E-04 2.09E+01 1.43E-21 r  4.6
  8.12E+10 3.71E-06 6.89E+33 2.42E+05 3.87E+09 1.19E-04 2.11E+01 9.92E-22 r  4.6
  8.13E+10 3.44E-06 6.89E+33 2.37E+05 3.56E+09 1.12E-04 2.13E+01 6.83E-22 r  4.6
  8.13E+10 3.17E-06 6.89E+33 2.33E+05 3.28E+09 1.05E-04 2.16E+01 4.67E-22 r  4.6
  8.14E+10 2.93E-06 6.89E+33 2.29E+05 3.02E+09 9.82E-05 2.18E+01 3.17E-22 r  4.6
  8.15E+10 2.70E-06 6.89E+33 2.25E+05 2.77E+09 9.19E-05 2.20E+01 2.13E-22 r  4.6
  8.16E+10 2.49E-06 6.89E+33 2.21E+05 2.54E+09 8.59E-05 2.23E+01 1.42E-22 r  4.6
  8.17E+10 2.28E-06 6.89E+33 2.16E+05 2.33E+09 8.02E-05 2.25E+01 9.37E-23 r  4.6
  8.18E+10 2.10E-06 6.89E+33 2.12E+05 2.13E+09 7.48E-05 2.28E+01 6.13E-23 r  4.6
  8.19E+10 1.92E-06 6.89E+33 2.08E+05 1.94E+09 6.96E-05 2.31E+01 3.97E-23 r  4.6
  8.20E+10 1.76E-06 6.89E+33 2.04E+05 1.77E+09 6.48E-05 2.33E+01 2.55E-23 r  4.6
  8.20E+10 1.60E-06 6.89E+33 2.00E+05 1.61E+09 6.01E-05 2.36E+01 1.61E-23 r  4.6
  8.21E+10 1.46E-06 6.89E+33 1.96E+05 1.46E+09 5.58E-05 2.39E+01 1.01E-23 r  4.6
  8.22E+10 1.33E-06 6.89E+33 1.91E+05 1.33E+09 5.17E-05 2.42E+01 6.27E-24 r  4.6
  8.23E+10 1.21E-06 6.89E+33 1.87E+05 1.20E+09 4.78E-05 2.45E+01 3.84E-24 r  4.6
  8.24E+10 1.09E-06 6.89E+33 1.83E+05 1.08E+09 4.41E-05 2.48E+01 2.32E-24 r  4.6
  8.25E+10 9.89E-07 6.89E+33 1.79E+05 9.78E+08 4.07E-05 2.52E+01 1.38E-24 r  4.6
  8.26E+10 8.93E-07 6.89E+33 1.75E+05 8.79E+08 3.74E-05 2.55E+01 8.11E-25 r  4.6
  8.26E+10 8.04E-07 6.89E+33 1.71E+05 7.89E+08 3.44E-05 2.59E+01 4.69E-25 r  4.6
  8.27E+10 7.22E-07 6.89E+33 1.67E+05 7.06E+08 3.15E-05 2.62E+01 2.67E-25 r  4.6
  8.28E+10 6.47E-07 6.89E+33 1.63E+05 6.30E+08 2.88E-05 2.66E+01 1.50E-25 r  4.6
  8.29E+10 5.78E-07 6.89E+33 1.59E+05 5.61E+08 2.63E-05 2.70E+01 8.22E-26 r  4.6
  8.30E+10 5.15E-07 6.89E+33 1.55E+05 4.98E+08 2.40E-05 2.74E+01 4.44E-26 r  4.6
  8.31E+10 4.57E-07 6.89E+33 1.51E+05 4.41E+08 2.18E-05 2.79E+01 2.35E-26 r  4.6
  8.32E+10 4.05E-07 6.89E+33 1.47E+05 3.89E+08 1.98E-05 2.83E+01 1.22E-26 r  4.6
  8.32E+10 3.58E-07 6.89E+33 1.43E+05 3.43E+08 1.79E-05 2.88E+01 6.17E-27 r  4.6
  8.33E+10 3.15E-07 6.89E+33 1.39E+05 3.01E+08 1.62E-05 2.93E+01 3.05E-27 r  4.6
  8.34E+10 2.76E-07 6.89E+33 1.35E+05 2.63E+08 1.45E-05 2.98E+01 1.47E-27 r  4.6
  8.35E+10 2.41E-07 6.89E+33 1.31E+05 2.29E+08 1.30E-05 3.03E+01 6.92E-28 r  4.6
  8.36E+10 2.10E-07 6.89E+33 1.27E+05 1.98E+08 1.17E-05 3.09E+01 3.16E-28 r  4.6
  8.37E+10 1.82E-07 6.89E+33 1.23E+05 1.71E+08 1.04E-05 3.15E+01 1.40E-28 r  4.6
  8.38E+10 1.57E-07 6.89E+33 1.19E+05 1.47E+08 9.23E-06 3.21E+01 5.98E-29 r  4.6
  8.39E+10 1.35E-07 6.89E+33 1.15E+05 1.26E+08 8.17E-06 3.28E+01 2.47E-29 r  4.6
  8.39E+10 1.15E-07 6.89E+33 1.11E+05 1.07E+08 7.20E-06 3.35E+01 9.81E-30 r  4.6
  8.40E+10 9.76E-08 6.89E+33 1.07E+05 9.06E+07 6.32E-06 3.42E+01 3.74E-30 r  4.6
  8.41E+10 8.24E-08 6.89E+33 1.03E+05 7.62E+07 5.52E-06 3.50E+01 1.36E-30 r  4.6
  8.42E+10 6.92E-08 6.89E+33 9.88E+04 6.37E+07 4.80E-06 3.58E+01 4.73E-31 r  4.6
  8.43E+10 5.76E-08 6.89E+33 9.49E+04 5.29E+07 4.15E-06 3.67E+01 1.55E-31 r  4.6
  8.44E+10 4.77E-08 6.89E+33 9.10E+04 4.36E+07 3.56E-06 3.76E+01 4.82E-32 r  4.6
  8.45E+10 3.91E-08 6.89E+33 8.71E+04 3.56E+07 3.04E-06 3.86E+01 1.40E-32 r  4.6
  8.45E+10 3.18E-08 6.89E+33 8.32E+04 2.89E+07 2.58E-06 3.97E+01 3.79E-33 r  4.6
  8.46E+10 2.57E-08 6.89E+33 7.93E+04 2.32E+07 2.17E-06 4.08E+01 9.50E-34 r  4.6
  8.47E+10 2.05E-08 6.89E+33 7.54E+04 1.84E+07 1.81E-06 4.20E+01 2.18E-34 r  4.6
  8.48E+10 1.62E-08 6.89E+33 7.16E+04 1.44E+07 1.50E-06 4.34E+01 4.52E-35 r  4.6
  8.49E+10 1.26E-08 6.89E+33 6.77E+04 1.12E+07 1.23E-06 4.49E+01 8.41E-36 r  4.6
  8.50E+10 9.70E-09 6.89E+33 6.38E+04 8.55E+06 9.95E-07 4.65E+01 1.38E-36 r  4.6
  8.51E+10 7.36E-09 6.89E+33 6.00E+04 6.42E+06 7.95E-07 4.82E+01 1.96E-37 r  4.6
  8.51E+10 5.49E-09 6.89E+33 5.62E+04 4.74E+06 6.27E-07 5.02E+01 2.37E-38 r  4.6
  8.52E+10 4.03E-09 6.89E+33 5.23E+04 3.43E+06 4.86E-07 5.23E+01 2.36E-39 r  4.6
  8.53E+10 2.90E-09 6.89E+33 4.85E+04 2.42E+06 3.70E-07 5.48E+01 1.87E-40 r  4.6
  8.54E+10 2.05E-09 6.89E+33 4.47E+04 1.66E+06 2.76E-07 5.75E+01 1.14E-41 r  4.6
  8.55E+10 1.42E-09 6.89E+33 4.09E+04 1.10E+06 2.00E-07 6.07E+01 5.03E-43 r  4.7
  8.56E+10 8.86E-10 6.89E+33 3.68E+04 6.73E+05 1.36E-07 6.44E+01 1.06E-44 r  4.7
  8.57E+10 5.25E-10 6.89E+33 3.27E+04 3.87E+05 8.78E-08 6.88E+01 1.22E-46 r  4.7
  8.58E+10 2.90E-10 6.89E+33 2.86E+04 2.06E+05 5.36E-08 7.41E+01 6.39E-49 r  4.7
  8.58E+10 1.47E-10 6.89E+33 2.45E+04 9.98E+04 3.02E-08 8.05E+01 1.13E-51 r  4.7
  8.59E+10 6.61E-11 6.89E+33 2.04E+04 4.21E+04 1.53E-08 8.86E+01 4.20E-55 r  4.7
  8.60E+10 2.50E-11 6.89E+33 1.63E+04 1.46E+04 6.61E-09 9.90E+01 1.42E-59 r  4.8
  8.61E+10 7.21E-12 6.89E+33 1.22E+04 3.64E+03 2.20E-09 1.13E+02 8.05E-66 r  4.9
  8.62E+10 1.28E-12 6.89E+33 8.12E+03 4.94E+02 4.44E-10 1.30E+02 1.18E-75 r  4.9
  8.63E+10 7.90E-14 6.89E+33 4.06E+03 1.65E+01 2.92E-11 1.66E+02 1.19E-95 r  4.2
  8.64E+10 0.00E+00 6.89E+33 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 r  4.2
